# Berg et al. (2019), Table B1.
# Extracted automatically from a sreenshot
# N(HI)	f(N,X),5	f(N,X),17	f(N,X),med	f(N,X),83	f(N,X),95
19.00	2.88E-20	3.26E-20	3.76E-20	4.33E-20	4.70E-20
19.05	2.51E-20	2.79E-20	3.30E-20	3.74E-20	4.14E-20
19.10	2.09E-20	2.34E-20	2.74E-20	3.19E-20	3.54E-20
19.15	1.69E-20	1.95E-20	2.31E-20	2.66E-20	2.97E-20
19.20	1.35E-20	1.54E-20	1.86E-20	2.18E-20	2.45E-20
19.25	1.06E-20	1.23E-20	1.48E-20	1.76E-20	1.97E-20
19.30	8.17E-21	9.74E-21	1.19E-20	1.41E-20	1.60E-20
19.35	6.16E-21	7.56E-21	9.24E-21	1.12E-20	1.29E-20
19.40	4.74E-21	5.74E-21	7.24E-21	8.99E-21	1.02E-20
19.45	3.56E-21	4.45E-21	5.56E-21	7.12E-21	8.23E-21
19.50	2.58E-21	3.37E-21	4.36E-21	5.55E-21	6.54E-21
19.55	1.94E-21	2.47E-21	3.36E-21	4.42E-21	5.12E-21
19.60	1.42E-21	1.89E-21	2.68E-21	3.46E-21	4.09E-21
19.65	9.83E-22	1.40E-21	1.97E-21	2.67E-21	3.23E-21
19.70	7.51E-22	1.00E-21	1.50E-21	2.13E-21	2.50E-21
19.75	5.57E-22	7.80E-22	1.23E-21	1.67E-21	2.01E-21
19.80	3.97E-22	5.96E-22	8.94E-22	1.29E-21	1.69E-21
19.85	2.66E-22	4.43E-22	7.09E-22	1.06E-21	1.33E-21
19.90	2.37E-22	3.16E-22	5.53E-22	8.68E-22	1.11E-21
19.95	1.41E-22	2.81E-22	4.92E-22	7.04E-22	9.15E-22
20.00	1.25E-22	2.51E-22	3.76E-22	5.64E-22	7.52E-22
20.05	1.12E-22	1.68E-22	3.35E-22	5.03E-22	6.15E-22
20.10	4.98E-23	1.49E-22	2.49E-22	3.98E-22	5.48E-22
20.13	5.37E-23	1.07E-22	2.15E-22	3.76E-22	4.84E-22
20.15	0.00E+00	5.92E-23	2.37E-22	3.55E-22	4.73E-22
20.18	0.00E+00	6.70E-23	2.01E-22	3.35E-22	4.69E-22
