# Ho et al. (2021), Table A3
# log10NHI_minus	log10NHI_plus	f(NHI) (1e-21)	f(NHI)_minus (1e-21)	f(NHI)_plus (1e-21)
20.0	20.1	0.371	0.365	0.378
20.1	20.2	0.235	0.230	0.240
20.2	20.3	0.170	0.166	0.173
20.3	20.4	0.128	0.125	0.131
20.4	20.5	9.58e-2	9.36e-2	9.80e-2
20.5	20.6	7.16e-2	6.99e-2	7.33e-2
20.6	20.7	5.09e-2	4.97e-2	5.23e-2
20.7	20.8	3.56e-2	3.47e-2	3.66e-2
20.8	20.9	2.45e-2	2.38e-2	2.52e-2
20.9	21.0	1.64e-2	1.59e-2	1.69e-2
21.0	21.1	1.06e-2	1.02e-2	1.09e-2
21.1	21.2	6.96e-3	6.72e-3	7.22e-3
21.2	21.3	4.58e-3	4.41e-3	4.77e-3
21.3	21.4	2.66e-3	2.55e-3	2.79e-3
21.4	21.5	1.51e-3	1.44e-3	1.60e-3
21.5	21.6	9.95e-4	9.43e-4	10.56e-4
21.6	21.7	4.82e-4	4.52e-4	5.23e-4
21.7	21.8	2.60e-4	2.39e-4	2.84e-4
21.8	21.9	1.50e-4	1.35e-4	1.69e-4
21.9	22.0	7.73e-5	6.98e-5	8.86e-5
22.0	22.1	4.34e-5	3.74e-5	5.09e-5
22.1	22.2	1.43e-5	1.19e-5	2.02e-5
22.2	22.3	1.13e-5	8.51e-6	15.12e-6
22.3	22.4	3.75e-6	3.00e-6	6.01e-6
22.4	22.5	2.39e-6	1.79e-6	4.77e-6
22.5	22.6	1.42e-6	9.47e-7	28.42e-7
22.6	22.7	7.53e-7	3.76e-7	15.05e-7
22.7	22.8	5.98e-7	2.99e-7	11.96e-7
22.8	22.9	7.12e-7	4.75e-7	14.24e-7
22.9	23.0	5.66e-7	1.89e-7	9.43e-7
