# downloaded from http://dustpedia.astro.noa.gr
#Name,MH2-r25,err-MH2-r25,type MH2,
#,Msun,Msun,DET=0/UL=-1,
ESO097-013,3.74E+09,1.16E+09,0,
ESO149-001,nan,nan,nan,
ESO209-009,nan,nan,nan,
ESO358-054,nan,nan,nan,
ESO358-063,5.60E+08,1.97E+08,0,
ESO373-008,nan,nan,nan,
ESO406-031,nan,nan,nan,
ESO410-018,nan,nan,nan,
ESO493-016,nan,nan,nan,
ESO549-035,nan,nan,nan,
ESO560-004,nan,nan,nan,
ESO603-031,nan,nan,nan,
IC0342,5.06E+09,1.60E+09,0,
IC0610,nan,nan,nan,
IC0755,nan,nan,nan,
IC0797,nan,nan,nan,
IC0800,nan,nan,nan,
IC0902,nan,nan,nan,
IC1613,nan,nan,nan,
IC2461,nan,nan,nan,
IC2531,nan,nan,nan,
IC2828,nan,nan,nan,
IC3061,nan,nan,nan,
IC3099,nan,nan,nan,
IC3115,nan,nan,nan,
IC3229,nan,nan,nan,
IC3258,nan,nan,nan,
IC3259,nan,nan,nan,
IC3267,nan,nan,nan,
IC3268,nan,nan,nan,
IC3311,nan,nan,nan,
IC3322,nan,nan,nan,
IC3391,nan,nan,nan,
IC3392,1.44E+08,6.08E+07,0,
IC3476,2.44E+07,4.83E+07,0,
IC3517,nan,nan,nan,
IC3521,3.31E+08,1.72E+08,0,
IC4213,nan,nan,nan,
IC5270,nan,nan,nan,
IC5334,nan,nan,nan,
NGC0007,nan,nan,nan,
NGC0115,nan,nan,nan,
NGC0131,nan,nan,nan,
NGC0150,nan,nan,nan,
NGC0253,2.25E+09,7.11E+08,0,
NGC0289,nan,nan,nan,
NGC0300,nan,nan,nan,
NGC0337,4.20E+08,1.91E+08,-1,
NGC0428,nan,nan,nan,
NGC0493,nan,nan,nan,
NGC0586,nan,nan,nan,
NGC0613,1.34E+10,5.68E+09,0,
NGC0625,nan,nan,nan,
NGC0628,8.16E+08,2.63E+08,0,
NGC0678,nan,nan,nan,
NGC0891,2.26E+09,7.14E+08,0,
NGC0895,nan,nan,nan,
NGC0925,1.39E+08,0.00E+00,0,
NGC1056,nan,nan,nan,
NGC1068,3.80E+09,1.14E+09,0,
NGC1097,6.15E+09,1.85E+09,0,
NGC1140,1.62E+07,5.30E+06,0,
NGC1189,nan,nan,nan,
NGC1317,1.38E+09,4.37E+08,0,
NGC1320,2.81E+08,0.00E+00,-1,
NGC1351A,1.05E+08,0.00E+00,0,
