# Se-Heon Oh et al (2015), Table 2. Undefined values use -99.9
# $M_{{\rm star}}^{{\rm KIN}}$	$M_{{\rm star}}^{{\rm SED}}$	${{M}_{{\rm gas}}}$
# (${{10}^{7}}{{M}_{\odot }}$)	(${{10}^{7}}{{M}_{\odot }}$)	(${{10}^{7}}{{M}_{\odot }}$)
# (14)	(15)	(13)
0.41	0.49	2.91
-99.9 	-99.9 	23.26
-99.9 	-99.9 	22.08
-99.9 	-99.9 	46.80
9.79	10.60	132.52
7.20	5.31	33.43
0.96	0.97	7.00
1.24	1.96	3.80
6.18	3.27	29.12
5.79	6.54	3.48
2.27	1.62	16.36
2.62	3.04	12.85
1.31	0.83	35.27
5.13	5.85	25.94
0.04	0.06	0.14
1.60	1.51	0.49
-99.9 	-99.9 	4.37
11.81	-99.9 	1.65
1.94	2.88	5.93
20.69	36.29	20.24
10.81	6.94	108.24
12.48	46.62	12.58
0.30	0.77	1.19
1.23	1.62	7.96
-99.9 	1.43	9.35
5.81	-99.9 	11.16
