HRS no HIdef: galaxyname  logMHIMstar  logMdustMmetals   logMHIMstar_low  logMdustMmetals_low  logMHIMstar_high  logMdustMmetals_high
HRS2     -0.4270000     -0.6664953      0.1349964      0.0829776      0.1523562      0.1008472
HRS10     -0.1519995     -0.8139930      0.1836486      0.1498120      0.1969323      0.4472812
HRS11     -0.7620001     -0.4174576      0.1464449      0.0726740      0.1240797      0.1097943
HRS12     -0.3270006     -0.8171825      0.1406568      0.1100618      0.1523562      0.1708136
HRS13     -1.0000000     -0.4012933      0.1294694      0.0583571      0.1088126      0.0584969
HRS16     -0.6219997     -0.4859047      0.1406569      0.0711928      0.1771671      0.0757742
HRS17     -0.2170000     -0.6463609      0.1645342      0.0739907      0.1523562      0.1435541
HRS19     -0.1920004     -0.8518624      0.1294694      0.0920197      0.1523562      0.1828004
HRS20      0.1880007     -0.6615052      0.1188350      0.0620997      0.1464449      0.0746019
HRS24     -0.0400000     -1.0379786      0.1746040      0.0737186      0.1188349      0.1087878
HRS25     -0.5720005     -0.6702528      0.1349964      0.0679988      0.1464449      0.1086517
HRS26     -0.4619999     -0.6533256      0.1771671      0.1272104      0.1464449      0.2925478
HRS27     -0.3570004     -0.6121616      0.1040539      0.0789171      0.1188349      0.1483349
HRS28     -0.3870001     -0.6228356      0.1464449      0.0734143      0.1902366      0.1417777
HRS29     -0.6269999     -0.3892226      0.1645341      0.1022547      0.1240797      0.1132068
HRS30      0.1280003     -0.8647380      0.1836486      0.1118811      0.1902366      0.2479549
HRS31      0.1380005     -0.8715062      0.1464449      0.0951718      0.1645342      0.1324492
HRS37     -0.7670002     -0.6732135      0.1583870      0.0751780      0.1137430      0.0852025
HRS38     -0.2119999     -0.5123935      0.1902366      0.1070110      0.2106387      0.1836798
HRS40     -0.2819996     -0.6974750      0.1406569      0.0728434      0.1523563      0.0940249
HRS48     -0.5599995     -0.5096331      0.1559608      0.0775883      0.1645342      0.2301477
HRS50     -0.8200006     -0.6341939      0.1441149      0.0578721      0.1294694      0.0578433
HRS51      0.0380001     -0.8488145      0.1464449      0.0862571      0.1583870      0.1698224
HRS53     -0.2170000     -0.8411126      0.1464449      0.0770908      0.1464449      0.1341228
HRS55     -0.3069992     -0.7268643      0.1464450      0.0756527      0.1969323      0.0997262
HRS56     -1.3499994     -0.3544769      0.1406569      0.0584122      0.1406569      0.0580457
HRS59     -0.8000002     -0.5000458      0.1272957      0.1021019      0.1645342      0.2756596
HRS61      0.3730001     -0.9923124      0.1294694      0.1188594      0.1771671      0.3143926
HRS64     -0.4219999     -0.5058289      0.1707949      0.1415449      0.1349963      0.4567642
HRS65      0.1230001     -0.8692856      0.1902366      0.1194478      0.1349964      0.2558894
HRS67     -0.1070004     -0.6246586      0.1645342      0.1519816      0.1349963      0.4154354
HRS72      0.4080000     -1.0200000      0.1707950      0.1284912      0.3181372      0.2052485
HRS73     -1.2100000     -0.5138054      0.2176478      0.0638419      0.1523562      0.0639064
HRS74     -0.5520000     -0.6256685      0.1645342      0.0763535      0.1464449      0.1541311
HRS76     -0.1070004     -0.6239429      0.2037333      0.1554577      0.2467120      0.4293220
HRS78     -0.0270004     -0.8254714      0.1294694      0.1125541      0.1583870      0.2315906
