HRS no HIdef: galaxyname  logMHIMstar  logMdustMstar   logMHIMstar_low  logMdustMstar_low  logMHIMstar_high  logMdustMstar_high
HRS2     -0.4270000     -2.7282524      0.1349964      0.1444311      0.1523562      0.1706858
HRS9     -1.3470001     -3.6003337      0.1040539      0.1276374      0.1682774      0.2772895
HRS10     -0.1519995     -2.7790327      0.1836486      0.2278771      0.1969323      0.4843555
HRS11     -0.7620001     -2.7623959      0.1464449      0.1499633      0.1240797      0.1523545
HRS12     -0.3270006     -3.0503426      0.1406568      0.1662305      0.1523562      0.2193725
HRS13     -1.0000000     -2.9114032      0.1294694      0.1262736      0.1088126      0.1050677
HRS15     -0.1499996     -2.6017942      0.1406568      0.1525480      0.1406568      0.1920181
HRS16     -0.6219997     -2.6658764      0.1406569      0.1436159      0.1771671      0.1813909
HRS17     -0.2170000     -2.6066585      0.1645342      0.1682935      0.1523562      0.1989894
HRS19     -0.1920004     -2.6868496      0.1294694      0.1449400      0.1523562      0.2289237
HRS20      0.1880007     -2.3241196      0.1188350      0.1172750      0.1464449      0.1509532
HRS23     -0.8999996     -2.9750910      0.1441149      0.1432433      0.1523562      0.1600448
HRS24     -0.0400000     -2.7135940      0.1746040      0.1780839      0.1188349      0.1474768
HRS25     -0.5720005     -2.8988934      0.1349964      0.1364637      0.1464449      0.1703695
HRS26     -0.4619999     -2.9328055      0.1771671      0.2081348      0.1464449      0.3205928
HRS27     -0.3570004     -2.6293907      0.1040539      0.1131878      0.1188349      0.1785535
HRS28     -0.3870001     -2.6317873      0.1464449      0.1503344      0.1902366      0.2281568
HRS29     -0.6269999     -2.6428828      0.1645341      0.1824247      0.1240797      0.1547992
HRS30      0.1280003     -2.4859848      0.1836486      0.2049739      0.1902366      0.3056823
HRS31      0.1380005     -2.7612033      0.1464449      0.1621203      0.1645342      0.2009814
HRS37     -0.7670002     -3.0139694      0.1583870      0.1628015      0.1137430      0.1263451
HRS38     -0.2119999     -2.5940537      0.1902366      0.2083312      0.2106387      0.2717857
HRS40     -0.2819996     -2.7881970      0.1406569      0.1444136      0.1523563      0.1667869
HRS42     -0.4819994     -2.6583891      0.1464449      0.1558070      0.1294694      0.1899664
HRS45     -1.4799995     -3.6026549      0.0832991      0.1091937      0.0674741      0.1731676
HRS48     -0.5599995     -2.6282101      0.1559608      0.1616336      0.1645342      0.2753564
HRS50     -0.8200006     -3.0062971      0.1441149      0.1410490      0.1294694      0.1260345
HRS51      0.0380001     -2.5782127      0.1464449      0.1570376      0.1583870      0.2229361
HRS53     -0.2170000     -2.7097807      0.1464449      0.1522108      0.1464449      0.1876541
HRS54     -0.4870005     -3.2933354      0.2774200      0.2849754      0.1441149      0.2403799
HRS55     -0.3069992     -2.6419954      0.1464450      0.1514800      0.1969323      0.2109606
HRS56     -1.3499994     -3.1598473      0.1406569      0.1377229      0.1406569      0.1375678
HRS59     -0.8000002     -2.9168301      0.1272957      0.1496761      0.1645342      0.3143782
HRS60     -0.5019999     -3.1291590      0.1707949      0.1747390      0.1383773      0.1711728
HRS61      0.3730001     -2.6630869      0.1294694      0.1632447      0.1771671      0.3549504
HRS63     -0.6999998     -2.7421007      0.1441149      0.1479628      0.1523562      0.1660509
HRS64     -0.4219999     -2.6508045      0.1707949      0.2120458      0.1349963      0.4718211
HRS65      0.1230001     -2.7123766      0.1902366      0.2150024      0.1349964      0.2819072
HRS67     -0.1070004     -2.6533561      0.1645342      0.2143102      0.1349963      0.4319369
HRS69     -1.0000000     -3.4987545      0.1294694      0.1621631      0.0909327      0.1902360
HRS70      0.0229998     -2.5007420      0.1349963      0.1504395      0.1969323      0.2731576
HRS72      0.4080000     -2.7503920      0.1707950      0.2035774      0.3181372      0.3729625
HRS73     -1.2100000     -2.8641605      0.2176478      0.2173348      0.1523562      0.1519359
HRS74     -0.5520000     -2.8421745      0.1645342      0.1693288      0.1464449      0.2024189
HRS76     -0.1070004     -2.7442031      0.2037333      0.2478282      0.2467120      0.4908449
HRS77     -0.8100004     -2.8571062      0.1406568      0.1379477      0.1088126      0.1091249
HRS78     -0.0270004     -2.7601047      0.1294694      0.1587431      0.1583870      0.2729273
HRS79      0.3280001     -2.6299710      0.1240797      0.1984133      0.1088126      0.3633684
HRS81     -0.9169998     -3.0824461      0.1645342      0.1644410      0.1327692      0.1577192
HRS82     -0.7370005     -2.8412466      0.1645342      0.1822434      0.1583870      0.2026397
HRS84     -0.9319992     -3.1888733      0.1349964      0.1423288      0.1523563      0.1970755
HRS85     -0.8099995     -2.9687395      0.1294694      0.1321866      0.1406569      0.1797558
HRS86      0.2080002     -2.2896538      0.1406569      0.1616028      0.1464449      0.2735184
HRS88     -0.1520004     -2.5714645      0.1707950      0.1933128      0.1645342      0.2364358
HRS89     -0.1219997     -2.2781105      0.1240796      0.1426378      0.1137430      0.1991651
HRS91     -1.0100002     -2.9868336      0.1188350      0.1203617      0.1645342      0.1659646
HRS92     -0.3020000     -2.6252251      0.1240797      0.1488448      0.1240797      0.1703081
HRS93     -1.1000004     -4.2282333      0.0994786      0.1409862      0.0994786      0.2145910
HRS94     -0.1870003     -2.4922647      0.1707950      0.1958132      0.1188350      0.2989121
HRS95     -1.1270008     -3.2966824      0.1464449      0.1460551      0.1349964      0.1328654
HRS96     -1.1300001     -2.9539442      0.1294694      0.1279859      0.1188350      0.1166639
HRS98     -0.3719997     -2.5684991      0.1240797      0.1365911      0.1240797      0.1876174
HRS102     -0.8000002     -2.6526208      0.1088126      0.1031723      0.0994785      0.0949925
HRS106     -0.6770000     -2.8163266      0.1406569      0.1724286      0.1771671      0.3411768
HRS109     -0.3319998     -2.8619666      0.1406569      0.1643264      0.1088126      0.2281411
HRS110     -0.0719995     -2.6451759      0.1523563      0.1647828      0.1464450      0.2162199
HRS111     -1.0599995     -2.9894528      0.2512137      0.2486439      0.0994785      0.0925191
HRS114     -0.8000002     -2.7361116      0.1523562      0.1498219      0.1406569      0.1373578
HRS121     -1.0100002     -2.9767103      0.1383773      0.1395322      0.1188350      0.1197295
HRS122     -1.2799997     -2.7363615      0.1771671      0.1764651      0.1645342      0.1636899
HRS123     -1.3999996     -3.6004119      0.1645342      0.1795621      0.0674741      0.1365010
HRS132     -0.2520008     -2.9881139      0.1583870      0.1880600      0.1349963      0.3121519
HRS133     -0.1370001     -2.3035340      0.1349963      0.2029324      0.1523562      0.3272718
