HRS no HIdef: galaxyname  logMHIMstar  Met_12+log(O/H)   logMHIMstar_low  Met_low  logMHIMstar_high  Met_high
HRS2     -0.4270000      8.6800003      0.1349964      0.0500000      0.1523562      0.0500000
HRS10     -0.1519995      8.5400000      0.1836486      0.0500000      0.1969323      0.0500000
HRS11     -0.7620001      8.6300001      0.1464449      0.0500000      0.1240797      0.0500000
HRS12     -0.3270006      8.4499998      0.1406568      0.0500000      0.1523562      0.0500000
HRS13     -1.0000000      8.6899996      0.1294694      0.0500000      0.1088126      0.0500000
HRS16     -0.6219997      8.6899996      0.1406569      0.0500000      0.1771671      0.0500000
HRS17     -0.2170000      8.5699997      0.1645342      0.0500000      0.1523562      0.0500000
HRS19     -0.1920004      8.7100000      0.1294694      0.0500000      0.1523562      0.0500000
HRS20      0.1880007      8.4700003      0.1188350      0.0500000      0.1464449      0.0500000
HRS24     -0.0400000      8.7399998      0.1746040      0.0500000      0.1188349      0.0500000
HRS25     -0.5720005      8.6599998      0.1349964      0.0500000      0.1464449      0.0500000
HRS26     -0.4619999      8.5000000      0.1771671      0.0500000      0.1464449      0.0500000
HRS27     -0.3570004      8.6400003      0.1040539      0.0500000      0.1188349      0.0500000
HRS28     -0.3870001      8.6800003      0.1464449      0.0500000      0.1902366      0.0500000
HRS29     -0.6269999      8.5699997      0.1645341      0.0500000      0.1240797      0.0500000
HRS30      0.1280003      8.6099997      0.1836486      0.0500000      0.1902366      0.0500000
HRS31      0.1380005      8.3400002      0.1464449      0.0500000      0.1645342      0.0500000
HRS37     -0.7670002      8.7399998      0.1583870      0.0500000      0.1137430      0.0500000
HRS38     -0.2119999      8.3999996      0.1902366      0.0500000      0.2106387      0.0500000
HRS40     -0.2819996      8.5200005      0.1406569      0.0500000      0.1523563      0.0500000
HRS48     -0.5599995      8.6999998      0.1559608      0.0500000      0.1645342      0.0500000
HRS50     -0.8200006      8.7500000      0.1441149      0.0500000      0.1294694      0.0500000
HRS51      0.0380001      8.5900002      0.1464449      0.0500000      0.1583870      0.0500000
HRS53     -0.2170000      8.6999998      0.1464449      0.0500000      0.1464449      0.0500000
HRS55     -0.3069992      8.7200003      0.1464450      0.0500000      0.1969323      0.0500000
HRS56     -1.3499994      8.7100000      0.1406569      0.0500000      0.1406569      0.0500000
HRS59     -0.8000002      8.6400003      0.1272957      0.0500000      0.1645342      0.0500000
HRS61      0.3730001      8.3400002      0.1294694      0.0500000      0.1771671      0.0500000
HRS64     -0.4219999      8.5400000      0.1707949      0.0500000      0.1349963      0.0500000
HRS65      0.1230001      8.3999996      0.1902366      0.0500000      0.1349964      0.0500000
HRS67     -0.1070004      8.3900003      0.1645342      0.0500000      0.1349963      0.0500000
HRS72      0.4080000      8.2500000      0.1707950      0.0500000      0.3181372      0.0500000
HRS73     -1.2100000      9.0900002      0.2176478      0.0500000      0.1523562      0.0500000
HRS74     -0.5520000      8.6400003      0.1645342      0.0500000      0.1464449      0.0500000
HRS76     -0.1070004      8.3000002      0.2037333      0.0500000      0.2467120      0.0500000
HRS78     -0.0270004      8.4499998      0.1294694      0.0500000      0.1583870      0.0500000
HRS79      0.3280001      8.3299999      0.1240797      0.0500000      0.1088126      0.0500000
