# Remy-Ruyer et al. (2014)
# 12 + log10(O/H) | median Gas-to-dust (G2D) | 16th pcile G2D | 84th pcile G2D
7.1980 5.4382 5.3180 5.5312
7.3991 4.6579 4.4831 4.7836
7.5495 4.3036 4.2325 4.3637
7.6493 3.3861 3.3369 3.4353
7.7490 3.8730 3.7801 3.9440
7.8503 3.2287 3.1467 3.2943
7.9486 3.1418 3.0161 3.2402
8.0499 2.9948 2.9456 3.0440
8.1497 2.7003 2.6566 2.7549
8.2494 2.6025 2.5751 2.6298
8.3492 2.3844 2.3626 2.4008
8.4490 2.4506 2.4396 2.4779
8.5503 2.1396 2.1287 2.1669
8.6485 2.8232 2.7904 2.8506
8.8496 2.3762 2.3216 2.4200
