# downloaded from http://dustpedia.astro.noa.gr
# name,RA,DEC,dist_best,vhelio,HIflux,HIfluxerr,MHI,MHIerr,logMHI,logMHI_err,HI_ref,Flag
ESO097-013,213.2913,-65.339,4.20726698599,434.573404227,654.0,103.0,2.7320578825248537E9,4.3027822920498556E8,9.436489896252118,0.0689721403241439,Huchtmeier1989,0.0
ESO116-012,48.2697,-57.35714,21.978599114,1142.87810215,24.500000000000004,0.5676964310000001,2.793046091538495E9,6.471846113407794E7,9.446078102595262,0.010064961879876932,Meyer2004,0.0
ESO149-001,356.9529,-57.07261,20.8929695668,1897.1376888,32.8,1.33,3.378984425392703E9,1.3701369773696077E8,9.528786190004668,0.017619772682709645,Meyer2004,0.0
ESO149-013,0.6945,-52.77158,20.2484980885,1496.53094145,5.6,0.295679954,5.418582134685283E8,2.861010922016022E7,8.73388566077477,0.02295208986812547,Meyer2004,0.0
ESO157-047,69.8301,-54.21068,21.4909885309,1655.37501334,4.4,0.427667188,4.7959811141582996E8,4.6615539927118085E7,8.680877464244785,0.04234584761561244,Meyer2004,0.0
ESO157-049,69.9036,-53.01267,23.6592009233,1671.35932246,10.4,0.426856497,1.3738695156748927E9,5.638895469193013E7,9.137945487226181,0.01783515619999143,Meyer2004,0.0
ESO209-009,119.5644,-49.85424,12.5892513534,1117.90261915,92.4,2.63,3.4560799733297157E9,9.837110746598668E7,9.538583783452093,0.012364752040626037,Meyer2004,0.0
ESO240-004,351.9711,-51.13189,20.6063052867,1574.45444842,3.9810731042712306,nan,3.989444383221223E8,nan,8.600912414959048,nan,Mathewson1992,0.0
ESO289-020,335.29875,-45.67673,12.7252867286,932.085025618,nan,nan,nan,nan,nan,nan,nan,
ESO351-030,15.03885,-33.709,0.0843334061453,108.893105887,158.4893749308048,1.4665178500000002,266018.2538381531,2461.493193785432,5.424911438394932,0.004018684458744204,Bouchard2003,0.0
ESO358-006,51.82515,-34.52639,20.4173767566,1265.75747852,nan,nan,nan,nan,nan,nan,nan,
ESO358-015,53.27805,-34.80702,16.1435923747,1384.64077761,2.4,0.281368634,1.476126615443313E8,1.7305655391597055E7,8.169123610894854,0.05115056357360359,Meyer2004,0.0
ESO358-016,53.28885,-35.71908,22.2829055161,1696.33480547,1.1912430125209938,nan,1.395905462520074E8,nan,8.144856006756964,nan,Bureau1996,0.0
ESO358-019,53.6286,-34.2975,16.043145822,1361.66333324,nan,nan,nan,nan,nan,nan,nan,
ESO358-042,54.5382,-34.51858,20.4173767566,1160.86044991,nan,nan,nan,nan,nan,nan,nan,
