#SFR(Msun/yr) 	dn/d log10(Phi_SFR) (/Mpc^3 ) * 0.01
#z ∼ 8.0 	UV dust corrected 
43.269 	0.0010 ± 0.0006 
21.704 	0.0026 ± 0.0010 
10.891 	0.0116 ± 0.0030 
5.469 	0.0120 ± 0.0050 
2.850 	0.0662 ± 0.0208 
1.803 	0.1066 ± 0.0452 
0.902 	0.2120 ± 0.0680 
0.359 	0.5480 ± 0.2080 
#z ∼ 7.0 	UV dust corrected 
73.533 	0.0002 ± 0.0004 
41.186 	0.0062 ± 0.0017 
23.070 	0.0090 ± 0.0028 
12.921 	0.0362 ± 0.0064 
7.239 	0.0578 ± 0.0114 
4.235 	0.1224 ± 0.0187 
2.674 	0.1697 ± 0.0331 
1.687 	0.3212 ± 0.0894 
0.534 	1.0925 ± 0.2731 
0.171 	1.5901 ± 0.5499 
#z ∼ 6.0 	UV dust corrected 
141.748 	0.0004 ± 0.0004 
77.951 	0.0028 ± 0.0012 
42.862 	0.0100 ± 0.0024 
23.585 	0.0330 ± 0.0047 
12.974 	0.0598 ± 0.0077 
7.132 	0.1305 ± 0.0015 
3.921 	0.2330 ± 0.0026 
1.860 	0.3554 ± 0.0598 
0.742 	1.2496 ± 0.2581 
0.309 	2.5517 ± 0.7857 
#z ∼ 5.0 	UV dust corrected 
382.081 	0.0004 ± 0.0004 
208.215 	0.0012 ± 0.0006 
113.462 	0.0063 ± 0.0015 
61.828 	0.0189 ± 0.0026 
33.695 	0.0495 ± 0.0047 
18.369 	0.1270 ± 0.0086 
10.001 	0.1925 ± 0.0125 
5.452 	0.2486 ± 0.0175 
2.974 	0.3900 ± 0.0319 
1.280 	0.8343 ± 0.0101 
0.512 	1.6080 ± 0.0331 
0.203 	4.5640 ± 0.0133
