#log SFR(Msun/yr) 	log10(Phi_SFR) (/Mpc^3 dex)
#z ∼ 3.8 	UV, dust corrected 
-0.86 	-1.57 ± 0.03 
-0.66 	-1.68 ± 0.04 
-0.47 	-1.49 ± 0.03 
-0.26 	-1.83 ± 0.05 
-0.02 	-1.96 ± 0.06 
0.23 	-2.10 ± 0.07 
0.47 	-2.37 ± 0.10 
0.72 	-2.42 ± 0.28 
0.96 	-2.47 ± 0.03 
1.20 	-2.66 ± 0.04 
1.45 	-3.02 ± 0.01 
1.69 	-3.51 ± 0.03 
1.93 	-4.07 ± 0.05 
2.18 	-4.70 ± 0.09 
2.42 	-5.70 ± 0.43 
#z ∼ 3.0, 	UV, dust corrected 
-1.06 	-1.54 ± 0.03 
-0.86 	-1.51 ± 0.03 
-0.66 	-1.44 ± 0.03 
-0.42 	-1.61 ± 0.04 
-0.17 	-1.60 ± 0.04 
0.08 	-1.77 ± 0.05 
0.33 	-1.83 ± 0.05 
0.58 	-2.06 ± 0.02 
0.84 	-2.12 ± 0.02 
1.09 	-2.30 ± 0.02 
1.39 	-2.53 ± 0.03 
1.60 	-3.03 ± 0.01 
1.84 	-3.63 ± 0.03 
2.09 	-4.34 ± 0.08 
2.35 	-5.22 ± 0.14
#z ∼ 2.0, 	UV, dust corrected 
-1.56 	-1.17 ± 0.02 
-1.26 	-1.22 ± 0.02 
-1.06 	-1.44 ± 0.03 
-0.81 	-1.45 ± 0.03 
-0.56 	-1.54 ± 0.04 
-0.30 	-1.60 ± 0.04 
-0.05 	-1.70 ± 0.04 
0.20 	-1.80 ± 0.05 
0.45 	-1.89 ± 0.02 
0.70 	-2.00 ± 0.02 
0.95 	-2.16 ± 0.02 
1.21 	-2.48 ± 0.03 
1.46 	-2.95 ± 0.14 
1.71 	-3.52 ± 0.27 
1.96 	-4.17 ± 0.57 
2.21 	-4.62 ± 0.98 
