#log_10 SFR	phi_SFR	
#(M_sun yr^-1)	(Mpc^-3 dex^-1)	

#z ~ 4	
	
-0.66	0.05920 +or- 0.02855	
-0.44	0.06703 +or- 0.00838	
-0.21	0.02537 +or- 0.00326	
0.02	0.02534 +or- 0.00268	
0.25	0.01430 +or- 0.00144	
0.48	0.01153 +or- 0.00117	
0.72	0.00601 +or- 0.00025	
0.95	0.00354 +or- 0.00017	
1.19	0.00221 +or- 0.00012	
1.44	0.00139 +or- 0.00008	
1.68	0.00052 +or- 0.00006	
1.92	0.00023 +or- 0.00004	
2.16	0.00002 +or- 0.00002	
	
#z ~ 5	
	
-0.33	0.01766 +or- 0.00858	
-0.11	0.01161 +or- 0.00294	
0.12	0.01076 +or- 0.00121	
0.36	0.00420 +or- 0.00046	
0.61	0.00362 +or- 0.00040	
0.86	0.00224 +or- 0.00014	
1.11	0.00121 +or- 0.00008	
1.37	0.00060 +or- 0.00006	
1.63	0.00023 +or- 0.00002	
1.89	0.00006 +or- 0.00002	
	
#z ~ 6	
	
-0.04	0.01197 +or- 0.00262	
0.41	0.00426 +or- 0.00089	
0.77	0.00173 +or- 0.00037	
1.01	0.00110 +or- 0.00024	
1.26	0.00026 +or- 0.00008	
1.51	0.00014 +or- 0.00004	
1.77	0.00002 +or- 0.00002	
2.03	0.00002 +or- 0.00002	
	
#z ~ 7	
	
-0.07	0.01543 +or- 0.00473	
0.15	0.00761 +or- 0.00215	
0.38	0.00513 +or- 0.00149	
0.61	0.00224 +or- 0.00075	
0.84	0.00106 +or- 0.00044	
1.08	0.00031 +or- 0.00019	
1.32	0.00033 +or- 0.00018	
