#log SFR(Msun/yr) 	log10(Phi_SFR) (/Mpc^3 dex)
#z ∼ 3.8 	UV, dust corrected
0.33 	-1.99 ± 0.22 
0.47 	-2.08 ± 0.08 
0.62 	-2.13 ± 0.06 
0.76 	-2.23 ± 0.05 
0.91 	-2.31 ± 0.07 
1.06 	-2.47 ± 0.09 
1.20 	-2.62 ± 0.05 
1.35 	-2.77 ± 0.04 
1.50 	-3.02 ± 0.02 
1.64 	-3.27 ± 0.04 
1.79 	-3.54 ± 0.02 
1.93 	-3.93 ± 0.06 
2.08 	-4.27 ± 0.10 
2.23 	-4.88 ± 0.05
#z ∼ 3.1 	UV, dust corrected
0.43 	-1.97 ± 0.20 
0.58 	-1.80 ± 0.08 
0.73 	-1.91 ± 0.10 
0.89 	-2.03 ± 0.08 
1.04 	-2.13 ± 0.07 
1.19 	-2.24 ± 0.09 
1.34 	-2.40 ± 0.10 
1.49 	-2.58 ± 0.06 
1.64 	-2.78 ± 0.05 
1.79 	-3.07 ± 0.05 
1.94 	-3.42 ± 0.11 
2.09 	-3.72 ± 0.15 
2.25 	-4.13 ± 0.14 
2.40 	-4.63 ± 0.12 
2.55 	-5.48 ± 0.43 
2.70 	-5.48 ± 0.43 
