Galaxy,"Exclusion (i-included, o-excluded)",Gal_type,Log_Mass_BH,Err_Log_Mass_BH (dex),Log_Mass_bulge,Err_Log_Mass_bulge (dex),Log_Mass_gal,Err_Log_Mass_gal (dex)
ic1459,i,ETG,9.38E+00,0.20,1.16E+01,0.12,1.16E+01,0.12
m105,i,ETG,8.60E+00,0.12,1.08E+01,0.26,1.08E+01,0.12
m49,i,ETG,9.40E+00,0.05,1.17E+01,0.12,1.17E+01,0.12
m59,i,ETG,8.59E+00,0.05,1.12E+01,0.12,1.12E+01,0.12
m84,i,ETG,8.95E+00,0.05,1.15E+01,0.26,1.15E+01,0.12
m87,i,ETG,9.76E+00,0.04,1.15E+01,0.26,1.15E+01,0.12
n0821,i,ETG,7.59E+00,0.17,1.07E+01,0.33,1.08E+01,0.12
n1023,i,ETG,7.62E+00,0.05,1.02E+01,0.12,1.08E+01,0.12
n1316,o,ETG,8.18E+00,0.26,1.10E+01,0.26,1.17E+01,0.12
n1332,i,ETG,9.16E+00,0.07,1.10E+01,0.33,1.11E+01,0.12
n1399,i,ETG,8.67E+00,0.06,1.17E+01,0.12,1.17E+01,0.12
n2549,i,ETG,7.15E+00,0.60,9.59E+00,0.12,1.01E+01,0.12
n2778,i,ETG,7.18E+00,0.34,9.41E+00,0.26,1.01E+01,0.12
n3091,i,ETG,9.56E+00,0.04,1.16E+01,0.12,1.16E+01,0.12
n3115,i,ETG,8.94E+00,0.25,1.08E+01,0.12,1.08E+01,0.12
n3245,i,ETG,8.30E+00,0.12,1.01E+01,0.12,1.06E+01,0.12
n3377,i,ETG,7.89E+00,0.04,1.05E+01,0.26,1.05E+01,0.12
n3384,i,ETG,7.23E+00,0.05,1.01E+01,0.12,1.06E+01,0.12
n3414,i,ETG,8.38E+00,0.06,1.08E+01,0.12,1.09E+01,0.12
n3489,i,ETG,6.76E+00,0.07,9.54E+00,0.26,1.03E+01,0.12
n3585,i,ETG,8.49E+00,0.13,1.13E+01,0.26,1.13E+01,0.12
n3607,i,ETG,8.11E+00,0.18,1.12E+01,0.26,1.13E+01,0.12
n3608,i,ETG,8.30E+00,0.18,1.09E+01,0.26,1.09E+01,0.12
n3842,i,ETG,9.99E+00,0.13,1.19E+01,0.12,1.19E+01,0.12
n3998,i,ETG,8.91E+00,0.11,1.00E+01,0.33,1.05E+01,0.12
n4261,i,ETG,8.70E+00,0.09,1.14E+01,0.26,1.14E+01,0.12
n4291,i,ETG,8.52E+00,0.36,1.07E+01,0.26,1.07E+01,0.12
n4459,i,ETG,7.83E+00,0.09,1.05E+01,0.26,1.07E+01,0.12
n4473,i,ETG,8.08E+00,0.37,1.06E+01,0.26,1.07E+01,0.12
n4564,i,ETG,7.78E+00,0.06,1.00E+01,0.12,1.03E+01,0.12
n4596,i,ETG,7.90E+00,0.21,1.02E+01,0.12,1.08E+01,0.12
n4697,i,ETG,8.26E+00,0.05,1.10E+01,0.33,1.11E+01,0.12
n4889,i,ETG,1.03E+01,0.44,1.21E+01,0.12,1.21E+01,0.12
n5077,i,ETG,8.87E+00,0.22,1.13E+01,0.12,1.13E+01,0.12
n5128,o,ETG,7.65E+00,0.13,1.06E+01,0.33,1.11E+01,0.12
n5576,i,ETG,8.20E+00,0.10,1.09E+01,0.12,1.09E+01,0.12
n5846,i,ETG,9.04E+00,0.05,1.14E+01,0.26,1.14E+01,0.12
n6251,i,ETG,8.77E+00,0.16,1.18E+01,0.12,1.18E+01,0.12
n7619,i,ETG,9.40E+00,0.09,1.16E+01,0.26,1.17E+01,0.12
n7768,i,ETG,9.11E+00,0.15,1.19E+01,0.26,1.19E+01,0.12
NGC 4526,i,ETG,8.67E+00,0.05,1.07E+01,0.26,1.10E+01,0.12
NGC 4371,i,ETG,6.85E+00,0.08,9.89E+00,0.26,1.06E+01,0.12
NGC 5018,i,ETG,8.02E+00,0.09,1.10E+01,0.27,1.14E+01,0.12
