# Da Cunha et. al 2015 (The Astrophysical Journal, Volume 806, Number 1)
# Name | redshift (z) | z low | z high | log10M* | log10M* low | log10M* high |  log10Mdust | log10Mdust low | log10Mdust high
ALESS001.1	4.78	-1.81	2.65	10.97	-0.42	0.15	9.12	-0.46	0.49
ALESS001.2	5.22	-2.55	2.21	10.90	-0.39	0.13	8.69	-0.37	0.61
ALESS001.3	3.12	-1.85	1.10	10.41	-0.88	0.41	8.39	-0.24	0.44
ALESS002.1	3.12	-1.70	0.41	10.72	-0.62	0.01	8.68	-0.18	0.20
ALESS002.2	3.78	-1.06	1.69	11.00	-0.51	0.19	8.64	-0.22	0.35
ALESS003.1	3.88	-0.76	0.90	11.37	-0.51	0.16	8.99	-0.20	0.24
ALESS005.1	3.67	-0.20	0.05	11.46	-0.14	0.03	9.08	-0.17	0.24
ALESS006.1	2.88	-0.10	0.15	10.83	-0.01	0.01	9.17	-0.20	0.02
ALESS007.1	1.98	-0.50	0.60	11.36	-0.24	0.06	9.16	-0.19	0.12
ALESS009.1	4.88	-1.66	1.24	11.75	-0.28	0.09	8.85	-0.13	0.40
ALESS010.1	1.42	-0.01	1.41	10.08	-0.01	0.01	9.09	-0.14	0.01
ALESS011.1	3.03	-0.45	0.25	11.46	-0.85	0.10	9.22	-0.24	0.07
ALESS013.1	3.22	-0.60	0.75	10.92	-0.28	0.11	9.39	-0.22	0.19
ALESS014.1	3.38	-0.26	0.24	10.96	-0.32	0.13	8.98	-0.15	0.21
ALESS015.1	2.67	-0.69	0.36	11.49	-0.39	0.15	9.39	-0.20	0.18
ALESS015.3	3.42	-2.34	4.11	10.43	-0.63	0.17	8.51	-1.00	0.54
ALESS017.1	2.12	-0.60	0.35	11.37	-0.55	0.01	9.33	-0.20	0.14
ALESS018.1	2.03	-0.20	0.30	11.89	-1.29	0.03	8.99	-0.25	0.15
ALESS019.1	3.53	-0.56	0.90	11.23	-0.66	0.21	8.68	-0.12	0.23
ALESS019.2	2.17	-0.75	0.36	10.40	-0.49	0.17	8.64	-0.56	0.29
ALESS022.1	2.42	-0.75	0.46	11.60	-0.26	0.09	8.85	-0.23	0.25
ALESS023.1	4.07	-0.95	1.55	11.18	-0.54	0.20	8.90	-0.25	0.35
ALESS023.7	3.08	-1.75	3.85	10.28	-0.62	0.22	8.47	-0.93	0.47
ALESS025.1	2.67	-1.25	0.50	10.53	-0.09	0.73	8.96	-0.16	0.21
ALESS029.1	3.62	-0.54	0.95	11.48	-0.50	0.15	8.76	-0.14	0.17
ALESS031.1	4.22	-1.19	1.46	11.45	-0.51	0.12	8.98	-0.23	0.37
ALESS035.1	3.58	-0.86	0.95	11.24	-0.56	0.20	8.64	-0.12	0.24
ALESS035.2	4.57	-2.15	3.00	10.21	-0.55	0.23	8.40	-0.42	0.55
ALESS037.1	2.72	-0.25	0.36	11.30	-0.30	0.07	8.49	-0.15	0.25
ALESS037.2	3.83	-0.55	0.64	10.55	-0.27	0.10	8.34	-0.47	0.52
ALESS039.1	2.33	-0.35	0.50	10.65	-0.19	0.09	9.03	-0.13	0.13
ALESS041.1	2.17	-0.65	0.61	11.35	-0.52	0.20	9.06	-0.26	0.26
ALESS041.3	2.97	-2.40	4.46	9.86	-0.79	0.51	8.42	-2.42	0.73
ALESS043.1	2.08	-0.60	0.50	11.31	-0.20	0.09	8.72	-0.30	0.26
ALESS045.1	3.17	-0.59	0.86	11.71	-0.26	0.11	8.93	-0.22	0.22
ALESS049.1	2.83	-0.05	0.14	10.58	-0.22	0.12	9.04	-0.12	0.04
ALESS049.2	2.67	-0.25	0.66	11.02	-0.36	0.15	8.28	-0.21	0.21
ALESS051.1	1.33	-0.10	0.19	11.17	-0.24	0.07	9.16	-0.13	0.09
ALESS055.1	2.28	-0.20	0.25	9.97	-0.21	0.27	9.05	-0.14	0.15
ALESS055.2	4.68	-1.96	2.89	10.42	-0.55	0.22	8.61	-0.42	0.56
ALESS055.5	2.33	-1.06	0.14	10.15	-0.88	0.04	6.38	-0.38	2.11
ALESS057.1	1.98	-0.50	0.60	9.92	-0.13	0.27	9.00	-0.42	0.12
ALESS059.2	1.48	-0.21	0.25	9.76	-0.24	0.10	8.73	-0.22	0.16
ALESS061.1	6.12	-1.44	0.26	10.58	-0.25	0.02	8.57	-0.22	0.62
ALESS063.1	2.08	-0.46	0.20	11.20	-0.19	0.01	9.26	-0.07	0.13
ALESS065.1	5.68	-2.76	1.79	10.74	-0.48	0.17	8.91	-0.48	0.56
ALESS066.1	1.98	-1.00	0.49	10.07	-0.27	0.35	8.71	-0.27	0.12
ALESS067.1	2.08	-0.35	0.30	11.38	-0.84	0.30	8.87	-0.13	0.19
ALESS067.2	1.52	-0.25	1.06	9.81	-0.25	0.087	8.62	-0.64	0.25
ALESS068.1	3.78	-1.06	1.90	10.97	-0.57	0.19	8.67	-0.34	0.40
ALESS069.1	2.83	-0.80	0.50	11.43	-0.29	0.11	8.99	-0.36	0.33
ALESS069.2	4.38	-1.76	3.15	10.38	-0.52	0.22	8.64	-0.44	0.52
ALESS069.3	4.68	-2.06	2.89	10.36	-0.55	0.22	8.55	-0.41	0.56
ALESS070.1	1.58	-0.20	0.64	10.63	-0.22	0.00	8.84	-0.00	0.33
ALESS071.1	1.77	-0.39	0.21	11.39	-0.35	0.18	8.71	-0.07	0.19
ALESS071.3	2.28	-0.80	0.39	9.64	-0.42	0.132	8.27	-1.87	0.45
ALESS072.1	5.82	-2.79	1.65	10.95	-0.41	0.14	8.93	-0.44	0.61
ALESS073.1	4.78	-0.50	0.40	10.64	-0.22	0.05	8.97	-0.32	0.34
ALESS074.1	1.62	-0.24	0.85	10.68	-0.72	0.28	9.04	-0.27	0.20
ALESS075.1	1.98	-0.10	0.24	10.48	-0.21	0.00	8.76	-0.07	0.23
ALESS075.4	2.28	-1.11	0.60	9.28	-0.73	0.22	8.11	-2.06	0.59
ALESS076.1	3.97	-0.94	1.71	11.01	-0.49	0.20	8.90	-0.25	0.40
ALESS079.1	3.53	-0.86	1.09	11.56	-0.30	0.12	8.66	-0.18	0.28
ALESS079.2	1.88	-0.00	0.01	11.71	-0.37	0.00	8.35	-0.17	0.12
ALESS079.4	1.83	-1.21	5.24	8.38	-0.38	0.61	6.94	-0.94	1.96
ALESS080.1	2.58	-0.41	1.14	11.12	-0.75	0.04	8.73	-0.29	0.29
ALESS080.2	1.48	-0.10	0.50	10.01	-0.04	0.05	8.92	-0.85	0.23
ALESS082.1	3.47	-1.95	2.65	10.98	-0.46	0.17	8.36	-0.35	0.54
ALESS083.4	2.72	-1.74	4.06	10.75	-0.55	0.19	8.34	-0.54	0.43
ALESS084.1	1.48	-0.21	0.10	10.01	-0.09	0.15	9.11	-0.26	0.11
ALESS084.2	1.73	-0.15	0.44	10.77	-0.18	0.21	8.89	-0.57	0.23
ALESS087.1	1.38	-0.30	0.45	10.29	-0.45	0.14	8.35	-0.40	0.16
ALESS087.3	4.68	-1.90	2.89	10.43	-0.54	0.22	8.63	-0.42	0.56
ALESS088.1	1.58	-0.06	0.15	10.06	-0.00	0.17	9.13	-0.18	0.01
ALESS088.2	4.28	-1.80	3.10	10.64	-0.40	0.14	8.58	-0.40	0.53
ALESS088.5	2.47	-0.64	0.61	10.89	-0.45	0.13	8.52	-0.20	0.38
ALESS088.11	2.42	-0.2	0.25	10.42	-0.31	0.05	8.76	-0.25	0.14
ALESS092.2	1.58	-0.85	0.84	9.16	-0.63	0.26	7.71	-1.71	1.16
ALESS094.1	2.38	-0.55	0.24	10.29	-0.34	0.06	8.92	-0.33	0.22
ALESS098.1	3.33	-2.00	0.01	11.87	-0.21	0.12	8.72	-0.03	0.32
ALESS099.1	4.62	-2.00	2.95	10.36	-0.55	0.23	8.55	-0.40	0.56
ALESS102.1	2.42	-0.44	0.30	11.61	-0.14	0.07	8.75	-0.21	0.27
ALESS103.3	4.57	-2.15	3.00	10.21	-0.57	0.22	8.40	-0.42	0.56
ALESS107.1	3.42	-0.45	0.36	11.00	-0.39	0.09	8.28	-0.21	0.32
ALESS107.3	2.22	-1.24	1.06	9.33	-0.83	0.23	8.24	-2.24	0.51
ALESS110.1	3.58	-0.46	0.74	11.05	-0.51	0.24	8.71	-0.26	0.35
ALESS110.5	3.62	-2.74	3.70	10.55	-0.65	0.16	8.61	-0.95	0.55
ALESS112.1	2.72	-1.14	0.25	11.01	-0.31	0.15	9.28	-0.19	0.20
ALESS114.1	3.42	-1.75	0.96	10.92	-0.51	0.18	8.55	-0.18	0.39
ALESS114.2	1.58	-0.16	0.59	11.32	-0.27	0.14	8.66	-0.26	0.13
ALESS115.1	3.83	-0.75	1.24	11.34	-0.56	0.20	8.82	-0.14	0.30
ALESS116.1	3.58	-0.80	0.80	10.92	-0.44	0.17	8.52	-0.17	0.27
ALESS116.2	3.58	-0.75	0.70	11.19	-0.50	0.16	8.60	-0.16	0.30
ALESS118.1	3.47	-1.49	1.41	10.76	-0.33	0.15	8.53	-0.22	0.37
ALESS119.1	3.47	-0.50	0.91	10.41	-0.21	0.10	9.34	-0.26	0.25
ALESS122.1	2.03	-0.45	0.19	10.89	-0.21	0.21	8.71	-0.10	0.15
ALESS124.1	2.42	-0.94	0.80	11.13	-0.52	0.16	8.91	-0.31	0.31
ALESS124.4	3.42	-1.00	2.01	10.43	-0.77	0.27	8.45	-0.35	0.41
ALESS126.1	1.88	-0.50	0.65	10.07	-0.08	0.80	8.44	-0.49	0.52
