# Remy-Ruyer et al. (2014)
# 12 + log10(O/H) | median Gas-to-dust (G2D) | 16th pcile G2D | 84th pcile G2D
7.1980 5.8087 5.7213 5.8852
7.3991 4.8962 4.7268 5.0219
7.5495 4.5027 4.4481 4.5628
7.6493 3.5410 3.4973 3.5792
7.7490 4.2077 4.1421 4.2623
7.8503 3.4699 3.3934 3.5355
7.9486 3.3497 3.2404 3.4372
8.0499 3.1038 3.0546 3.1530
8.1497 3.0328 2.9891 3.0765
8.2494 2.9399 2.9235 2.9836
8.3492 2.7760 2.7596 2.8087
8.4490 2.6667 2.6503 2.6940
8.5503 2.3279 2.3115 2.3497
8.6485 2.8033 2.7869 2.8306
8.8496 2.2404 2.1803 2.2896
