# GSMF from Duncan et al 2014, CANDELS/GOODS-S
# Chabrier IMF, 1/Vmax selection.
# z=4 GSMF
# log_Mstar log_Merr Phi Phi- Phi+
7.872950000000000337e+00 1.250000000000000000e-01 6.353000000000000314e-02 1.480000000000000066e-02 1.822000000000000008e-02
8.126110000000000610e+00 1.250000000000000000e-01 4.909000000000000169e-02 1.088000000000000078e-02 1.501000000000000251e-02
8.379269999999999996e+00 1.250000000000000000e-01 2.722199999999999967e-02 5.718000000000000860e-03 8.007999999999997759e-03
8.625590000000000757e+00 1.250000000000000000e-01 1.661500000000000130e-02 3.777000000000000843e-03 5.048000000000000403e-03
8.873630000000000351e+00 1.250000000000000000e-01 1.201400000000000037e-02 2.663000000000000436e-03 3.379999999999999324e-03
9.126789999999999736e+00 1.250000000000000000e-01 7.387000000000000337e-03 1.637000000000000434e-03 2.204000000000000230e-03
9.373110000000000497e+00 1.250000000000000000e-01 4.157000000000000105e-03 9.209999999999999437e-04 1.145000000000000184e-03
9.624560000000000670e+00 1.250000000000000000e-01 2.392200000000000142e-03 7.794000000000001881e-04 7.150999999999997636e-04
9.876020000000000465e+00 1.250000000000000000e-01 1.063499999999999992e-03 2.596999999999999699e-04 3.029000000000000442e-04
1.012575999999999965e+01 1.250000000000000000e-01 5.898000000000000248e-04 1.602000000000000451e-04 1.832999999999999560e-04
1.038063000000000002e+01 1.250000000000000000e-01 3.246999999999999778e-04 1.325399999999999745e-04 2.408000000000000526e-04
1.062523999999999980e+01 1.250000000000000000e-01 7.946999999999999637e-05 4.360999999999999751e-05 5.402000000000000118e-05
1.087499000000000038e+01 1.250000000000000000e-01 3.405300000000000075e-05 2.969499999999999945e-05 2.904700000000000158e-05
# z=5 GSMF
# log_Mstar log_Merr Phi Phi- Phi+
8.094960000000000377e+00 1.499999999999999944e-01 2.566799999999999984e-02 1.039499999999999973e-02 7.557999999999998747e-03
8.407120000000000815e+00 1.499999999999999944e-01 2.086899999999999866e-02 1.071499999999999883e-02 7.647000000000001019e-03
8.720869999999999678e+00 1.499999999999999944e-01 9.926000000000000795e-03 4.461000000000000555e-03 3.598999999999999769e-03
9.031700000000000728e+00 1.499999999999999944e-01 4.329999999999999648e-03 1.246399999999999505e-03 1.433000000000000246e-03
9.345660000000000522e+00 1.499999999999999944e-01 2.378700000000000085e-03 6.840000000000001461e-04 7.616999999999997037e-04
9.661910000000000664e+00 1.499999999999999944e-01 1.352300000000000073e-03 3.320000000000000468e-04 4.194999999999999511e-04
9.970869999999999678e+00 1.499999999999999944e-01 1.019500000000000007e-03 4.298999999999999870e-04 2.976000000000000780e-04
1.028140999999999927e+01 1.499999999999999944e-01 4.132000000000000148e-04 1.817000000000000256e-04 1.556999999999999899e-04
1.059449000000000041e+01 1.499999999999999944e-01 1.238400000000000069e-04 5.136000000000000970e-05 4.665999999999999033e-05
1.090940999999999939e+01 1.499999999999999944e-01 3.852999999999999871e-05 3.023000000000000025e-05 2.894000000000000413e-05
1.121809999999999974e+01 1.499999999999999944e-01 5.378999999999999660e-06 inf 1.730699999999999879e-05
# z=6 GSMF
# log_Mstar log_Merr Phi Phi- Phi+
8.252850000000000463e+00 1.749999999999999889e-01 7.383999999999999939e-03 2.022000000000000360e-03 2.323000000000000412e-03
8.606490000000000862e+00 1.749999999999999889e-01 5.341000000000000261e-03 1.460000000000000360e-03 1.684999999999999866e-03
8.963549999999999685e+00 1.749999999999999889e-01 2.733399999999999979e-03 7.777000000000000926e-04 8.075999999999998978e-04
9.320619999999999905e+00 1.749999999999999889e-01 1.146700000000000063e-03 3.204000000000000901e-04 3.631999999999999378e-04
9.681110000000000326e+00 1.749999999999999889e-01 4.306000000000000040e-04 1.348300000000000084e-04 1.225999999999999985e-04
1.003627999999999965e+01 1.749999999999999889e-01 2.188100000000000006e-04 8.245999999999999316e-05 8.112000000000000937e-05
1.039358999999999966e+01 1.749999999999999889e-01 1.051600000000000028e-04 7.800800000000000258e-05 7.000999999999998869e-05
1.075089999999999968e+01 1.749999999999999889e-01 1.513699999999999924e-05 inf 2.313299999999999688e-05
1.110605999999999938e+01 1.749999999999999889e-01 1.895799999999999916e-06 inf 2.930820000000000173e-05
# z=7 GSMF
# log_Mstar log_Merr Phi Phi- Phi+
8.607450000000000045e+00 1.749999999999999889e-01 4.178000000000000290e-03 3.279100000000000070e-03 3.536000000000000081e-03
8.965500000000000469e+00 1.749999999999999889e-01 2.263799999999999840e-03 1.932669999999999831e-03 2.074200000000000002e-03
9.323439999999999728e+00 1.749999999999999889e-01 9.284000000000000152e-04 7.700199999999999493e-04 7.367999999999999116e-04
9.677070000000000505e+00 1.749999999999999889e-01 3.668999999999999736e-04 3.645835999999999630e-04 3.362000000000000405e-04
1.003504000000000040e+01 1.749999999999999889e-01 1.811600000000000070e-04 inf 2.446399999999999617e-04
1.039273999999999987e+01 1.749999999999999889e-01 3.669000000000000278e-05 inf 2.916999999999999888e-04
1.074538000000000082e+01 1.749999999999999889e-01 -inf nan inf
