# GSMF from Grazian et al 2014. Salpeter IMF, h=0.7

# 3.5<z<4.5
# Mstar/h**-2, Phi, Phi_upper, Phi_lower
8.6755e+08, -1.95636, -1.74, -2.18
1.3794e+09, -2.22407, -2.11, -2.35
2.1932e+09, -2.43272, -2.35, -2.50
3.4739e+09, -2.56056, -2.50, -2.61
5.4619e+09, -2.81582, -2.76, -2.86
8.6513e+09, -2.97164, -2.91, -3.01
1.3755e+10, -3.14921, -3.09, -3.20
2.1707e+10, -3.37651, -3.31, -3.44
3.4511e+10, -3.53543, -3.47, -3.62
5.4673e+10, -3.86529, -3.75, -3.97
8.6938e+10, -4.20759, -4.05, -4.29
1.3771e+11, -4.40070, -4.19, -4.55
2.1656e+11, -4.87042, -4.50, -5.28
5.4749e+11, -5.35921, -4.81, -6.13

# 4.5<z<5.5
# Mstar/h**-2, Phi, Phi_upper, Phi_lower
2.1240e+09, -2.83098, -2.54, -3.13
3.3460e+09, -2.84705, -2.71, -2.99
5.2972e+09, -3.07262, -2.99, -3.16
8.4244e+09, -3.15332, -3.09, -3.23
1.3336e+10, -3.31819, -3.25, -3.39
2.1214e+10, -3.63580, -3.53, -3.73
3.3660e+10, -3.76543, -3.66, -3.87
5.3168e+10, -4.10848, -3.95, -4.27
8.4371e+10, -4.35168, -4.13, -4.58
1.3326e+11, -4.60858, -4.29, -4.94
2.1149e+11, -5.00645, -4.57, -5.51
3.3484e+11, -5.30251, -4.75, -6.10
5.2998e+11, -5.30684, -4.75, -6.10

# 5.5<z<6.5
# Mstar/h**-2, Phi, Phi_upper, Phi_lower
3.2003e+09, -2.77805, -2.49, -3.08
5.0706e+09, -3.26020, -3.13, -3.40
8.0011e+09, -3.36318, -3.25, -3.48
1.2722e+10, -3.63399, -3.52, -3.75
2.0077e+10, -3.84264, -3.72, -3.97
3.1811e+10, -4.35276, -4.15, -4.56
5.0394e+10, -4.65155, -4.34, -4.99
8.0130e+10, -4.95033, -4.52, -5.46

# 6.5<z<7.5
# Mstar/h**-2, Phi, Phi_upper, Phi_lower
5.7959e+09, -3.48720, -3.12, -3.86
9.1801e+09, -4.36339, -3.96, -4.85
1.4529e+10, -4.27569, -4.03, -4.52
2.2955e+10, -4.88306, -4.48, -5.37
3.6601e+10, -5.20654, -4.63, -6.01
5.7795e+10, -5.21478, -4.64, -6.01
