# GSMF from Illustris-TNG100. Calculated assuming 30pkpc spherical apertures and Chabrier IMF.
# Data obtained from TNG data portal: https://www.tng-project.org/data/
# 
# Mstar z=0.0 z=0.5 z=1.0 z=2.0 z=3.0 z=4.0 z=5.0
1.292447e+07 6.155995e-02 7.827434e-02 9.623024e-02 1.299022e-01 1.463697e-01 1.327573e-01 9.945008e-02
2.048390e+07 4.915217e-02 6.199466e-02 7.423297e-02 9.865801e-02 1.058824e-01 9.066369e-02 6.452558e-02
3.246479e+07 4.019632e-02 4.975635e-02 6.011581e-02 7.683757e-02 7.929850e-02 6.458821e-02 4.341984e-02
5.145323e+07 3.408822e-02 4.180256e-02 4.965320e-02 6.152311e-02 5.968478e-02 4.603181e-02 2.999528e-02
8.154787e+07 2.939478e-02 3.565761e-02 4.126101e-02 4.935848e-02 4.506660e-02 3.340299e-02 2.047577e-02
1.292447e+08 2.634810e-02 3.126995e-02 3.504607e-02 3.901744e-02 3.516764e-02 2.489660e-02 1.397348e-02
2.048390e+08 2.346720e-02 2.760067e-02 3.059946e-02 3.211727e-02 2.759698e-02 1.769802e-02 9.659496e-03
3.246479e+08 2.151098e-02 2.390560e-02 2.507711e-02 2.626337e-02 2.035052e-02 1.238935e-02 6.509661e-03
5.145323e+08 1.875902e-02 1.954372e-02 2.072260e-02 2.067471e-02 1.514500e-02 8.826908e-03 4.284513e-03
8.154787e+08 1.644546e-02 1.599969e-02 1.651914e-02 1.503448e-02 9.895273e-03 5.651284e-03 2.623021e-03
1.292447e+09 1.451872e-02 1.349824e-02 1.264355e-02 1.042209e-02 6.767542e-03 3.485081e-03 1.473607e-03
2.048390e+09 1.252566e-02 1.196938e-02 1.102627e-02 7.743807e-03 4.347142e-03 2.284091e-03 9.652128e-04
3.246479e+09 1.085680e-02 9.589500e-03 9.059001e-03 6.178099e-03 3.503502e-03 1.650440e-03 6.152311e-04
5.145323e+09 8.355354e-03 8.226413e-03 7.776963e-03 5.120786e-03 2.748278e-03 1.200990e-03 4.347142e-04
8.154787e+09 7.471189e-03 7.073315e-03 6.417560e-03 4.420822e-03 2.162519e-03 1.031525e-03 2.836694e-04
1.292447e+10 6.008634e-03 5.747069e-03 4.862904e-03 3.566130e-03 1.772013e-03 6.410192e-04 2.247251e-04
2.048390e+10 5.043421e-03 4.424506e-03 4.255041e-03 2.611969e-03 1.326247e-03 4.089260e-04 1.178886e-04
3.246479e+10 4.686071e-03 4.236621e-03 3.602970e-03 2.055682e-03 8.841644e-04 2.615653e-04 6.262831e-05
5.145323e+10 3.754015e-03 3.440873e-03 2.810906e-03 1.565708e-03 4.310302e-04 1.142046e-04 3.684018e-05
8.154787e+10 2.155151e-03 2.107259e-03 1.738857e-03 7.441717e-04 2.652493e-04 5.157626e-05 1.105206e-05
1.292447e+11 1.123626e-03 1.057313e-03 7.883799e-04 3.315617e-04 1.363087e-04 4.789224e-05 3.684018e-06
2.048390e+11 4.789224e-04 4.383982e-04 3.205096e-04 1.142046e-04 5.526028e-05 1.105206e-05 3.684018e-06
3.246479e+11 2.541973e-04 1.694648e-04 9.210046e-05 3.315617e-05 1.842009e-05 3.684018e-06 0.000000e+00
5.145323e+11 8.473242e-05 4.052420e-05 3.315617e-05 1.105206e-05 0.000000e+00 0.000000e+00 0.000000e+00
8.154787e+11 3.315617e-05 2.578813e-05 3.684018e-06 3.684018e-06 0.000000e+00 0.000000e+00 0.000000e+00
1.292447e+12 3.684018e-06 3.684018e-06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.048390e+12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.246479e+12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.145323e+12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
