# GSMF from Illustris-TNG50. Calculated assuming 30pkpc spherical apertures and Chabrier IMF.
# Data obtained from TNG data portal: https://www.tng-project.org/data/
 
# TNG50
# Mstar z=0.0 z=0.5 z=1.0 z=2.0 z=3.0 z=4.0 z=5.0
1.292447e+07 8.638244e-02 1.064646e-01 1.319480e-01 1.724749e-01 1.829510e-01 1.593888e-01 1.187170e-01
2.048390e+07 7.822632e-02 9.812727e-02 1.141133e-01 1.427141e-01 1.481153e-01 1.210007e-01 8.275750e-02
3.246479e+07 7.014269e-02 8.500497e-02 9.718478e-02 1.198044e-01 1.147658e-01 8.968114e-02 5.847037e-02
5.145323e+07 6.097158e-02 7.492762e-02 8.098128e-02 9.500981e-02 9.098613e-02 6.695274e-02 4.237561e-02
8.154787e+07 5.488167e-02 5.973910e-02 6.963520e-02 7.543511e-02 6.789522e-02 4.951675e-02 2.896331e-02
1.292447e+08 4.940800e-02 5.176422e-02 5.596915e-02 5.999284e-02 4.955300e-02 3.512572e-02 1.910346e-02
2.048390e+08 3.802568e-02 4.444183e-02 4.480432e-02 4.777678e-02 3.954815e-02 2.443213e-02 1.294105e-02
3.246479e+08 3.650320e-02 3.675694e-02 3.606820e-02 3.498072e-02 2.646210e-02 1.529727e-02 9.171111e-03
5.145323e+08 3.305950e-02 3.110203e-02 3.124703e-02 2.780333e-02 1.979220e-02 1.058484e-02 5.364919e-03
8.154787e+08 2.936206e-02 2.718709e-02 2.381589e-02 1.946596e-02 1.294105e-02 7.829882e-03 2.791208e-03
1.292447e+09 2.595461e-02 2.062594e-02 1.884972e-02 1.493477e-02 8.011129e-03 3.914941e-03 1.594976e-03
2.048390e+09 1.884972e-02 1.569601e-02 1.355730e-02 9.569855e-03 6.669899e-03 2.899956e-03 7.612385e-04
3.246479e+09 1.428228e-02 1.246981e-02 1.159982e-02 7.358639e-03 4.422433e-03 1.703724e-03 6.162407e-04
5.145323e+09 1.225231e-02 1.098358e-02 9.968599e-03 6.017409e-03 3.334950e-03 1.341230e-03 3.262451e-04
8.154787e+09 9.316109e-03 8.554871e-03 8.083628e-03 5.219921e-03 2.464963e-03 7.974879e-04 2.537462e-04
1.292447e+10 7.793632e-03 8.953615e-03 7.068643e-03 4.204936e-03 1.957470e-03 5.799912e-04 1.087484e-04
2.048390e+10 7.902381e-03 6.706149e-03 5.546166e-03 3.516197e-03 9.787352e-04 4.349934e-04 2.537462e-04
3.246479e+10 5.509917e-03 4.966175e-03 4.422433e-03 2.319965e-03 7.249890e-04 2.537462e-04 1.087484e-04
5.145323e+10 3.842442e-03 3.769943e-03 3.117453e-03 1.739974e-03 7.612385e-04 1.087484e-04 3.624945e-05
8.154787e+10 3.226201e-03 3.298700e-03 2.283715e-03 9.062363e-04 2.174967e-04 1.812473e-04 7.249890e-05
1.292447e+11 2.029969e-03 1.631225e-03 1.196232e-03 5.799912e-04 2.174967e-04 7.249890e-05 0.000000e+00
2.048390e+11 1.087484e-03 8.337374e-04 7.612385e-04 2.537462e-04 7.249890e-05 3.624945e-05 0.000000e+00
3.246479e+11 4.349934e-04 5.074923e-04 3.624945e-04 7.249890e-05 7.249890e-05 0.000000e+00 0.000000e+00
5.145323e+11 4.349934e-04 2.537462e-04 1.449978e-04 1.449978e-04 0.000000e+00 0.000000e+00 0.000000e+00
8.154787e+11 1.087484e-04 1.087484e-04 7.249890e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.292447e+12 3.624945e-05 7.249890e-05 3.624945e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.048390e+12 3.624945e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.246479e+12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.145323e+12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
