# Post-processed data from Mosleh et al. 2020.
# Galaxies are selected in this file from the paper,
# with "Method 1" being preferred over "Method 2".
# Only galaxies with reliable efforts for either of
# those have been inclued, with around a 15%
# drop rate. These columns correspond to z, 10**logM*, 
# rM{I,II}, e_rM{I,II}, and a separate column provided
# to tell us if the galaxies were star forming or not.
# Data postprocessing by Josh Borrow on 20 Jan 2021.
# Column [],Redshift [],Stellar Mass [Solar_Mass],Half-Mass Radius [kpc],Half-Mass Radius Error [kpc],Star Forming []
0,1.3,28840315031.266117,1.509,0.091,1
1,1.22,39810717055.34969,0.649,0.05,0
2,1.22,6309573444.801943,2.895,0.138,1
3,0.74,8912509381.33744,1.359,0.044,0
4,1.21,13803842646.028866,4.686,0.05,1
5,1.17,11220184543.019653,1.835,0.052,1
6,1.25,57543993733.71567,1.402,0.05,0
7,0.82,43651583224.016655,0.773,0.045,1
8,1.13,38904514499.42805,2.17,0.049,1
9,1.18,43651583224.016655,4.222,0.051,1
10,1.22,37153522909.71728,3.943,0.05,0
11,0.97,43651583224.016655,1.814,0.048,1
12,1.19,23442288153.19918,1.84,0.138,0
13,0.82,67608297539.19819,3.318,0.045,1
14,0.86,25118864315.09582,1.292,0.056,0
15,1.2,8128305161.640995,2.938,0.062,1
16,1.0,9120108393.559114,3.751,0.241,1
17,1.04,77624711662.86928,0.582,0.049,0
18,0.7,17782794100.38923,2.531,0.043,1
19,1.17,6606934480.075964,5.407,0.191,1
20,1.3,45708818961.48752,0.654,0.05,0
21,1.3,10964781961.43183,3.773,0.136,1
22,0.29,22908676527.6777,2.586,0.026,1
23,0.68,14791083881.682072,0.848,0.042,0
24,0.63,9120108393.559114,2.216,0.041,1
25,0.96,11220184543.019653,5.793,0.307,1
26,1.22,23988329190.194946,3.244,0.082,0
27,0.89,14791083881.682072,1.492,0.047,1
28,1.12,7943282347.242822,2.413,0.127,1
29,1.19,11220184543.019653,2.686,0.189,1
30,1.16,7413102413.009162,3.409,0.137,1
31,1.28,7943282347.242822,2.109,0.066,1
32,0.9,6606934480.075964,1.965,0.047,1
33,1.29,19498445997.580414,4.925,0.162,1
34,0.8,7762471166.286927,2.029,0.045,1
35,1.17,85113803820.2376,2.133,0.05,1
36,0.58,21379620895.022324,2.133,0.04,1
37,1.21,10715193052.376049,2.393,0.123,1
38,0.74,18197008586.099827,2.587,0.044,1
39,1.14,44668359215.09635,3.112,0.061,1
40,0.4,9332543007.969925,1.065,0.032,1
41,0.35,44668359215.09635,2.551,0.03,0
42,1.19,107151930523.76048,3.233,0.05,1
43,0.8,8709635899.560797,4.598,0.045,1
44,1.11,75857757502.91852,1.032,0.049,1
45,0.96,6760829753.919819,1.476,0.048,1
46,0.68,36307805477.01018,1.442,0.042,0
47,0.9,6760829753.919819,0.608,0.047,1
48,0.54,7244359600.749891,0.305,0.038,0
49,0.76,12022644346.174131,2.214,0.044,1
50,0.81,9332543007.969925,1.539,0.051,1
51,1.2,21877616239.495518,2.888,0.05,1
52,0.82,44668359215.09635,0.909,0.045,0
53,0.76,16595869074.375631,1.063,0.044,0
54,0.73,8317637711.026709,1.57,0.044,1
55,0.92,9120108393.559114,2.353,0.047,1
56,0.85,8709635899.560797,1.977,0.065,1
57,1.29,6456542290.346562,2.111,0.05,1
58,1.23,7244359600.749891,2.898,0.05,1
59,0.63,33884415613.920204,2.38,0.041,1
60,0.8,39810717055.34969,1.172,0.045,0
61,0.55,93325430079.69925,3.157,0.038,1
62,1.2,18197008586.099827,3.784,0.05,1
63,0.43,67608297539.19819,3.099,0.034,1
64,1.17,10000000000.0,6.597,0.831,1
65,0.5,8912509381.33744,2.272,0.042,1
66,1.18,10471285480.508986,3.278,1.39,1
67,0.77,7244359600.749891,1.112,0.044,1
68,0.42,16595869074.375631,1.694,0.033,1
69,1.29,72443596007.49892,2.915,0.05,1
70,0.81,10471285480.508986,1.177,0.045,1
71,0.99,30902954325.13592,0.24,0.048,1
72,1.24,19952623149.688828,1.901,0.05,1
73,0.32,104712854805.08984,6.596,0.092,0
74,1.22,70794578438.41373,2.795,0.069,1
75,0.84,28840315031.266117,1.878,0.046,1
76,1.27,57543993733.71567,2.659,0.05,1
77,1.28,52480746024.97734,1.758,0.05,1
78,1.3,17782794100.38923,2.767,0.119,1
79,1.26,9120108393.559114,2.907,0.05,1
80,1.01,15848931924.611109,2.988,0.09,1
81,0.55,28183829312.644493,1.655,0.038,1
82,0.56,7413102413.009162,1.049,0.039,0
83,0.99,30902954325.13592,1.919,0.048,1
84,0.79,19054607179.632442,2.11,0.045,1
85,0.96,13803842646.028866,2.761,0.048,1
86,0.44,6606934480.075964,1.502,0.034,1
87,0.5,39810717055.34969,1.209,0.037,0
88,1.24,10964781961.43183,2.751,0.125,1
89,1.08,44668359215.09635,2.494,0.049,0
90,1.04,22908676527.6777,2.329,0.049,1
91,0.79,14454397707.45928,1.391,0.045,1
92,1.0,14125375446.227554,5.337,0.257,1
93,0.65,57543993733.71567,7.073,0.164,0
94,0.63,17782794100.38923,2.955,0.041,1
95,0.7,16982436524.61746,3.175,0.043,1
96,1.09,7585775750.291851,4.409,0.123,1
97,1.04,8128305161.640995,1.65,0.049,1
98,1.3,8709635899.560797,2.906,0.066,1
99,0.43,51286138399.13659,1.617,0.034,0
100,1.16,14791083881.682072,4.26,0.05,1
101,0.81,7244359600.749891,2.988,0.058,1
102,1.25,43651583224.016655,3.555,0.079,1
103,0.93,77624711662.86928,1.841,0.047,1
104,0.64,6760829753.919819,4.215,0.067,1
105,0.94,9772372209.558111,1.042,0.047,0
106,1.22,79432823472.42822,2.046,0.05,1
107,0.44,13489628825.916561,1.98,0.034,1
108,0.97,42657951880.15934,1.05,0.048,1
109,0.67,9549925860.214369,2.36,0.042,1
110,0.58,13182567385.564047,2.726,0.04,1
