# From Trujillo et al. 2020.
# Assumes a standard Lamda CDM Cosmology, Omega_L = 0.7 and H = 70 km/s/Mpc
# Galaxy Stellar Mass [M_odot], Half-Mass Radius [kpc]
11076056.346558662, 0.5642582864882776
11923415.523788277, 1.0602796669863597
13542542.846064173, 1.3143793835749582
17008158.263813395, 0.7071746285143137
17587730.356847156, 2.0770241747519766
19060567.34479116, 1.0221269678342584
19976037.188960675, 0.6631189478920668
20587641.50094413, 0.937345278313724
21076250.628687512, 1.4326919200273218
21360644.807632644, 1.722488869060722
22014641.511158705, 1.5840871054957193
23305095.41126762, 1.597337899419098
24754000.981886536, 1.811038362549
25088021.197762523, 1.3285078790295588
28494821.91707757, 1.6400084071989824
29073509.107791353, 1.3470266642867743
29863414.45203136, 0.8594013370371412
30881043.836155977, 2.0588140253262455
31297739.82547004, 1.9524504431746275
31508191.62307175, 1.343189024312494
31720058.53752728, 0.6383692575200969
33243557.62971642, 1.3792264358177866
33467093.466516815, 1.0491400337154408
33918684.536283985, 1.3506320203865292
34146760.05140918, 1.6838447853407437
35192227.95328344, 0.9369595281917402
35667097.27185202, 1.957711488487224
37255125.40236601, 1.760633275781601
38783682.42118907, 1.7605789233071658
39044471.08288376, 1.5767746867908639
40105279.95384076, 2.295130970904808
40510472.191052906, 1.4160740630552298
41611111.207924224, 1.990539301215078
41890912.024300925, 2.2256571709244923
42314144.88494969, 1.056296545057854
42885114.39486531, 0.8320215158714147
48708652.14687285, 1.6416230151343723
50368454.16868723, 1.3445805901628565
52259636.39193492, 1.2313708610621248
53142580.47264092, 1.782401631474188
54586424.356996596, 1.5566924362877996
56446518.06762051, 1.848181538044095
57592862.37751596, 1.769897628141477
59955865.40248141, 2.0207673387187586
60764884.96741649, 2.020746544148822
64976707.45641878, 1.6504479547022546
65633181.055188015, 1.361299451053694
69016386.8369443, 1.4988539492798516
69480465.80094647, 2.754394865379705
69480465.80094647, 1.9567094913655423
70891510.08403896, 3.079705884787762
70891510.08403896, 1.6274646585610983
73307217.90145439, 1.502973935950813
74795977.79298441, 1.2413837464813546
75805243.67559262, 1.5847943202905683
76314972.16998635, 1.4615564886752537
77344734.73230673, 1.1368658126709341
81331638.14804591, 1.8502438378157753
83821760.6944491, 1.8450437442913385
83541357.49739404, 1.7015813561296091
83821760.6944491, 1.435174594424215
86099134.79781829, 1.2104558016736338
87260920.79002824, 1.7693331119076117
87260920.79002824, 1.4532703967480085
87847679.37844543, 1.1367546785425702
89033059.50554748, 1.6001552828935888
90234434.6601297, 1.185335979261939
89932579.58391143, 1.1640268564995568
92066960.99249542, 1.8813131418690927
92066960.99249542, 1.3994689305795303
92066960.99249542, 0.8479407834509584
98448437.67940465, 2.153934841284091
101462623.54736173, 1.8090779365527785
102487722.17467202, 2.080013282342705
104219286.60731575, 1.8395932221886224
104569094.43944749, 1.415043462929148
106692736.2601523, 2.5607362750957914
106335824.3544364, 1.956070293965423
108859506.06821151, 3.1969181780824942
110328411.06436446, 1.771485156535772
111817136.85491154, 1.4920386160550807
111817136.85491154, 1.397308617343475
115240630.83458388, 1.7298917280678316
117975651.45897624, 2.0653258155202807
117975651.45897624, 1.8652698908278211
121180961.04964645, 2.458922631493223
125310338.38386434, 1.9916329145143437
127855203.82986662, 1.9286871600195894
131328933.41715755, 2.2051622375074227
137636598.66318783, 1.498059827083677
137636598.66318783, 1.4326274204369551
138098570.35544965, 1.5212317486620033
141376081.38073614, 1.8060948112671782
143283751.54916865, 2.1744542732850243
145217163.0271352, 2.9974630016207344
145217163.0271352, 2.005352593561683
147176663.15718347, 3.0908935080447097
148663620.52236587, 3.039535559690414
149162603.9687574, 1.7223227028885857
151175342.24144012, 3.147419911532092
151175342.24144012, 2.9189328833260393
154763205.96567988, 1.870093945908855
158436220.91837367, 1.039150169317334
159501575.40350324, 3.6035506369220975
160574093.52944997, 1.4364618894537071
161653823.4658598, 1.581664182845538
164936770.70595273, 1.0865777407434347
170557176.39206725, 1.5019998728467525
188593850.91403535, 1.660646327702031
192423909.79592434, 1.345073601813665
204387133.7134188, 1.2596161272262776
206452100.72180405, 2.186014224579237
208537930.53435934, 1.4123212669811556
211351854.82184675, 1.9252541850244607
214203749.0358383, 2.744344020551639
215644094.70581365, 2.2540997939475225
217094125.526764, 1.9171706529592023
217094125.526764, 1.570309834763549
224491851.65120694, 2.1616037101100414
226001376.42808872, 1.1391054306338517
230591126.1729099, 2.1980653535322143
232141663.60100183, 2.0102337917831625
238448777.75152782, 4.283074839964135
241666306.59780243, 1.925056077215656
246574187.63184592, 1.8983464004858228
249065379.48589322, 3.5326151399529397
249065379.48589322, 2.889447329436547
255832298.25003886, 2.010083821835825
256690989.04090297, 1.8877199626832006
256690989.04090297, 1.605563313691277
258417026.77950794, 1.4359372281901424
270828671.77187204, 3.9717566170957657
270828671.77187204, 2.5375670135785207
274483121.4697953, 1.7263284423276155
276328796.80120224, 2.4233090048580834
279120605.8475638, 2.498849639345
285745010.8699709, 2.77841786479131
285745010.8699709, 1.869213732136251
289600735.45712405, 1.563402850639133
297468969.31170595, 2.0352557353358116
299469205.740007, 2.7705735081703775
305550977.15374905, 2.5408757016282872
308638024.1500001, 1.6256276687813729
315962969.8345965, 3.4684657916127994
323461759.3915754, 2.4708250164879138
324547445.74113256, 1.5742130970295538
333365155.3922067, 1.9245807016421745
335606764.42216575, 3.6368504828217456
337863446.44629186, 2.4399019199155085
340135302.8181915, 2.8053194141826636
345882002.814534, 2.747166003613923
347042941.80688983, 1.8507651286996423
358868819.77884895, 1.3147412432293284
361281920.17034036, 2.228189402101187
360073348.49856204, 2.0664392521715524
363711246.69566953, 1.3425412711553752
366156908.4623634, 1.6925504966129599
373593007.32043403, 1.7501765268648872
394169262.9488047, 3.0245706672766417
396819730.0563187, 2.828574706777241
402174250.8060856, 1.747636686853125
413101022.2821271, 2.048991248278718
418675236.0321481, 2.0404091801994078
417274670.4303444, 2.0262255015061905
422905201.6563354, 2.7467419912619397
422905201.6563354, 1.2293957078423863
427177903.52962923, 1.9431051423613552
447695051.92835295, 3.791517074210357
447695051.92835295, 2.3755392083421847
450705436.3516718, 4.014780227090741
450705436.3516718, 2.048854199616934
450705436.3516718, 1.8763998041876209
456787068.4586137, 2.2559475149125263
462950763.58521366, 4.545667666251704
481945375.2367619, 4.383541337591423
498368205.12353545, 3.486662842135449
508489317.56295496, 2.199799230133014
525816662.09339166, 2.6969050730570077
536495211.6173291, 2.0514412207645503
540102704.7564255, 4.839737078538648
560381918.2209187, 2.148060819223628
571762436.3699961, 1.7374381435207003
573681533.9273853, 1.6966964975557386
607309588.8063083, 1.3589760363231094
617570287.9541363, 1.8917210047350284
625903525.1165642, 1.8917015381076816
638614689.0487914, 3.2464974172682113
655965369.1445292, 1.73725489259515
653771013.1068873, 1.6521302186251705
658167090.4497062, 2.5967223345738555
682879262.4218031, 3.0829480633215995
682879262.4218031, 2.280572552288923
