# JID                    RA         DEC        q      PA        Ag      Ar      Ai      z        TType   Re      RhalfMass   R235_i   RH      R1       LOGMASS  
  J000007.81-000226.09   0.03257    -0.04025   0.96   0.0       0.109   0.076   0.056   0.0237   1       2.3     2.4         6.21     10.01   10.11    9.83     
  J000150.32+010155.24   0.45973    1.03172    0.49   178.76    0.085   0.059   0.044   0.0862   -5      24.99   29.13       46.05    71.98   148.12   11.82    
  J000322.48+010328.42   0.84381    1.05767    0.48   108.5     0.101   0.07    0.052   0.0795   -5      16.47   18.83       38.06    61.89   126.05   11.72    
  J000603.91-004337.12   1.51642    -0.7273    0.8    100.0     0.118   0.082   0.061   0.0737   4       9.23    9.52        20.05    25.22   34.91    10.8     
  J000710.75-002453.17   1.79491    -0.41488   0.74   112.0     0.105   0.073   0.054   0.0734   2       7.75    6.54        19.84    30.81   29.4     10.7     
  J001039.34-000310.42   2.66405    -0.05294   0.91   30.0      0.12    0.083   0.062   0.039    4       5.52    4.41        13.76    17.83   17.93    10.59    
  J001051.94-002206.38   2.7165     -0.36856   0.62   86.0      0.13    0.09    0.067   0.0319   3       4.96    4.17        10.07    14.22   12.41    9.78     
  J001104.29-005931.01   2.76793    -0.99201   0.74   106.0     0.142   0.098   0.073   0.0545   1       5.06    6.81        14.94    22.52   25.26    10.56    
  J001206.09-002454.77   3.02523    -0.41533   0.73   148.0     0.103   0.071   0.053   0.019    -5      3.18    3.65        11.06    16.41   27.03    10.77    
  J001214.81+002234.71   3.06179    0.37615    0.96   96.47     0.104   0.072   0.053   0.086    -5      10.91   14.62       27.07    44.96   94.62    11.75    
  J001233.70-000254.52   3.14055    -0.04858   0.98   120.0     0.099   0.068   0.051   0.04     -3      6.65    5.98        15.43    25.44   34.22    10.98    
  J001312.20+004434.57   3.30089    0.74287    0.88   120.0     0.097   0.067   0.05    0.039    -5      4.91    6.77        14.4     23.83   49.63    11.07    
  J001343.81-002735.73   3.43263    -0.45998   0.32   113.5     0.099   0.069   0.051   0.032    1       4.24    3.78        13.34    17.51   17.42    9.99     
  J001417.49+010405.16   3.573      1.068      0.96   150.0     0.075   0.052   0.039   0.04     -5      3.72    6.12        11.21    18.3    37.23    10.9     
  J001426.23+010350.86   3.60941    1.06403    0.83   65.0      0.076   0.053   0.039   0.04     -5      3.63    4.33        11.6     16.65   23.07    10.94    
  J001431.85-004415.26   3.63278    -0.73761   0.51   170.0     0.148   0.103   0.076   0.014    6       5.92    3.12        11.09    20.34   14.06    9.7      
  J001453.42+002319      3.72262    0.38861    0.87   55.0      0.083   0.058   0.043   0.0177   -99     0.59    1.34        0.88     1.74    1.86     7.5      
  J001455.07+001508.14   3.72959    0.2522     0.94   0.0       0.088   0.061   0.045   0.039    4       4.19    5.25        10.36    13.57   17.98    10.33    
  J001529.73+003823.12   3.87397    0.63969    0.8    107.0     0.081   0.056   0.042   0.041    3       3.75    4.89        10.46    13.94   16.45    10.34    
  J001558.24-001812.68   3.99269    -0.30352   1.0    0.0       0.103   0.071   0.053   0.0394   3       13.1    6.83        20.81    36.09   37.81    10.98    
  J001629.01-003626.66   4.12097    -0.60745   0.91   57.0      0.093   0.065   0.048   0.069    -2      6.77    8.59        21.67    29.76   42.89    11.44    
  J001647.00+004215.38   4.19599    0.70418    0.87   85.0      0.082   0.057   0.042   0.045    -5      9.73    10.02       22.38    40.21   70.99    11.44    
  J001708.76-005728.96   4.28682    -0.95825   0.62   60.5      0.124   0.086   0.064   0.0189   4       3.76    4.1         7.55     9.37    11.75    9.63     
  J001734.46+004434.95   4.39374    0.74294    0.84   30.0      0.092   0.063   0.047   0.045    -5      4.58    7.03        15.41    26.24   41.05    11.1     
  J001755.39+002006.84   4.48081    0.33497    0.74   125.0     0.091   0.063   0.047   0.019    6       4.06    3.8         8.01     11.4    10.75    9.4      
  J001900.85+003942.4    4.75355    0.66178    0.83   97.0      0.084   0.058   0.043   0.018    -99     0.81    1.87        1.65     2.74    3.33     8.19     
  J001933.87+010256.1    4.89114    1.04892    0.96   20.0      0.085   0.059   0.044   0.0179   -99     0.8     1.35        1.23     2.1     3.05     8.28     
  J001947.32+003526.76   4.94736    0.59065    0.53   73.0      0.086   0.059   0.044   0.0177   0       1.67    2.79        6.52     8.71    10.75    9.7      
  J001947.34+003526.6    4.94727    0.59074    0.56   72.0      0.086   0.059   0.044   0.0177   -99     1.58    2.79        6.33     8.48    10.64    9.64     
  J002027.67+000015.50   5.11545    0.00416    0.79   130.0     0.105   0.072   0.054   0.046    0       6.81    5.1         14.27    22.88   24.22    10.62    
  J002029.30-003317.98   5.12224    -0.55503   0.51   -36.18    0.098   0.068   0.05    0.0398   3       5.84    4.21        13.9     21.96   19.26    10.26    
  J002032.94-000847.05   5.13739    -0.14626   0.64   12.0      0.105   0.072   0.054   0.0643   -5      10.53   13.39       29.25    45.01   113.68   11.62    
  J002033.86+005123.1    5.1411     0.85644    0.55   62.0      0.082   0.057   0.042   0.0174   -99     2.18    2.6         3.3      5.53    6.71     8.82     
  J002107.8+004953.8     5.28253    0.83161    0.62   -22.51    0.077   0.054   0.04    0.0179   -99     1.03    1.58        1.56     2.71    3.65     8.21     
  J002135.28+010956.21   5.39725    1.16543    0.47   50.69     0.075   0.052   0.039   0.0182   0       1.5     1.92        5.86     7.55    9.56     9.92     
  J002220.79-005603.86   5.58675    -0.93452   0.74   60.0      0.09    0.062   0.046   0.0581   2       8.58    7.03        21.23    30.9    39.84    11.12    
  J002339.88-000715.04   5.91622    -0.12111   0.72   105.39    0.09    0.062   0.046   0.0639   -5      17.24   16.6        33.06    55.25   94.53    11.68    
  J002354.19-004329.56   5.97594    -0.72498   1.0    0.0       0.087   0.06    0.045   0.0644   -5      6.18    9.46        20.19    30.42   81.68    11.5     
  J002429.11-004945.8    6.12133    -0.82941   0.55   30.0      0.078   0.054   0.04    0.0165   -99     0.86    1.93        1.82     3.01    4.05     8.11     
  J002455.44+003148.75   6.23103    0.53003    0.83   160.0     0.082   0.057   0.042   0.0596   4       8.25    8.93        19.23    25.65   29.22    10.59    
  J002504.35-010303.5    6.26815    -1.051     0.91   92.0      0.074   0.051   0.038   0.0137   -99     0.68    1.4         1.3      2.38    2.7      8.05     
  J002507.44+001845.4    6.28101    0.31262    0.68   -98.04    0.08    0.055   0.041   0.0109   -99     0.84    1.84        1.56     3.01    3.61     8.02     
  J002515.13-010642.29   6.31335    -1.11181   1.0    0.0       0.079   0.055   0.041   0.0379   1       5.36    4.77        16.3     26.02   28.96    10.89    
  J002519.93+003130.9    6.33307    0.52527    0.77   -89.95    0.083   0.058   0.043   0.0141   -99     0.73    2.05        2.46     4.32    5.15     8.65     
  J002534.40+005048.67   6.39349    0.84652    0.88   74.79     0.077   0.053   0.04    0.0178   6       2.32    2.41        4.73     6.17    7.04     9.31     
  J002534.43+005048.2    6.39349    0.84674    0.93   80.0      0.077   0.053   0.04    0.0178   -99     2.31    2.34        4.59     6.04    6.84     9.3      
  J002537.70+000212.19   6.40716    0.03667    0.67   7.0       0.087   0.06    0.045   0.0424   -5      6.0     6.94        20.16    30.92   60.43    11.33    
  J002624.98+010111.8    6.60412    1.01995    0.63   15.0      0.085   0.059   0.044   0.0178   -99     5.43    4.54        6.91     12.72   12.87    9.35     
  J002632.94+010539.4    6.63728    1.09429    0.8    52.0      0.088   0.061   0.045   0.0177   -99     1.1     1.96        1.3      2.69    2.79     7.84     
  J002649.05+000217.29   6.70445    0.03807    0.86   40.0      0.074   0.051   0.038   0.0446   -3      3.5     5.02        11.5     18.68   31.96    10.88    
  J002703.83+002737.23   6.76625    0.4605     0.75   112.78    0.078   0.054   0.04    0.0604   4       6.62    5.84        15.99    21.07   23.24    10.66    
