# Stellar mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Number of particles: 1504^3
# Centrals only - Halos with 0 stellar mass included.
# M_200 [M_sun]    M_star (16th per) [M_sun]     M_star (50th per) [M_sun]    M_star (84th per) [M_sun]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    7
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    803
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    4044
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    9204
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    47959
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    263489
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    359414
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    266964
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    198776
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    140756
2.511886e+09    0.000000e+00    0.000000e+00    0.000000e+00    98288
3.981072e+09    0.000000e+00    0.000000e+00    4.193078e+06    69164
6.309573e+09    0.000000e+00    3.303614e+06    1.001450e+07    48317
1.000000e+10    3.101110e+06    9.636664e+06    2.163837e+07    31677
1.584893e+10    9.558378e+06    2.139733e+07    4.127903e+07    20059
2.511886e+10    2.216820e+07    4.320270e+07    7.878210e+07    13330
3.981072e+10    5.198335e+07    9.331028e+07    1.669039e+08    8759
6.309573e+10    1.153612e+08    2.004014e+08    3.752885e+08    5708
1.000000e+11    2.572063e+08    4.497278e+08    8.939500e+08    3761
1.584893e+11    6.208232e+08    1.139907e+09    2.058707e+09    2591
2.511886e+11    1.462352e+09    2.586598e+09    4.277348e+09    1795
3.981072e+11    3.490443e+09    5.618742e+09    8.449679e+09    1130
6.309573e+11    7.514698e+09    1.134338e+10    1.576181e+10    780
1.000000e+12    1.334221e+10    1.924647e+10    2.606105e+10    547
1.584893e+12    2.066028e+10    3.069259e+10    4.018948e+10    339
2.511886e+12    2.783227e+10    4.393290e+10    5.924761e+10    265
3.981072e+12    3.844226e+10    5.736252e+10    8.000027e+10    178
6.309573e+12    5.506606e+10    7.773184e+10    9.757839e+10    114
1.000000e+13    7.169001e+10    9.918888e+10    1.205466e+11    70
1.584893e+13    9.296160e+10    1.157289e+11    1.603625e+11    50
2.511886e+13    1.083750e+11    1.418514e+11    1.749297e+11    28
3.981072e+13    1.397831e+11    1.869962e+11    2.397977e+11    23
6.309573e+13    1.800777e+11    2.465004e+11    2.854306e+11    10
1.000000e+14    3.124214e+11    3.281930e+11    3.490005e+11    3
1.584893e+14    1.449805e+11    2.871560e+11    3.972399e+11    4
2.511886e+14    3.145440e+11    3.687940e+11    4.230441e+11    2
3.981072e+14    3.533667e+11    3.533667e+11    3.533667e+11    1
