# Stellar mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 1.00
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_200 [M_sun]    M_star (16th per) [M_sun]     M_star (50th per) [M_sun]    M_star (84th per) [M_sun]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    10
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    947
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    5959
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    14541
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    60878
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    289474
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    466305
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    352147
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    256837
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    178687
2.511886e+09    0.000000e+00    0.000000e+00    1.071425e+06    123192
3.981072e+09    0.000000e+00    0.000000e+00    6.402896e+06    93118
6.309573e+09    0.000000e+00    5.504586e+06    1.219128e+07    60867
1.000000e+10    5.127714e+06    1.217781e+07    2.404641e+07    37333
1.584893e+10    1.118018e+07    2.450690e+07    4.512733e+07    23917
2.511886e+10    2.390447e+07    4.915855e+07    8.731461e+07    15725
3.981072e+10    4.965762e+07    9.942158e+07    1.754368e+08    10254
6.309573e+10    1.093733e+08    2.153641e+08    3.772605e+08    6672
1.000000e+11    2.419789e+08    4.762449e+08    8.393756e+08    4609
1.584893e+11    5.279598e+08    1.055469e+09    1.769173e+09    3093
2.511886e+11    1.195804e+09    2.305008e+09    3.816326e+09    2034
3.981072e+11    2.558475e+09    4.919679e+09    7.588951e+09    1365
6.309573e+11    5.399022e+09    9.650662e+09    1.489520e+10    916
1.000000e+12    1.023333e+10    1.747496e+10    2.466531e+10    626
1.584893e+12    1.582661e+10    2.687148e+10    3.914710e+10    389
2.511886e+12    2.374407e+10    3.964006e+10    5.519457e+10    280
3.981072e+12    3.100277e+10    4.940667e+10    6.821194e+10    149
6.309573e+12    3.985580e+10    6.000882e+10    9.044586e+10    99
1.000000e+13    6.885070e+10    8.668709e+10    1.193946e+11    59
1.584893e+13    8.013210e+10    1.236346e+11    1.666559e+11    24
2.511886e+13    8.242104e+10    1.228921e+11    1.906454e+11    21
3.981072e+13    9.752813e+10    1.472887e+11    2.072612e+11    11
6.309573e+13    1.276812e+11    1.352312e+11    1.427811e+11    2
1.000000e+14    3.302505e+11    3.364111e+11    3.425717e+11    2
1.584893e+14    1.648601e+11    1.648601e+11    1.648601e+11    1
