# Stellar mass / Halo mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 3.00
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_200 [M_sun]    M_star / M_200 (16th per) [-]     M_star / M_200 (50th per) [-]    M_star / M_200 (84th per) [-]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    26
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    2323
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    13569
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    38077
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    134649
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    404295
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    532024
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    384046
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    252398
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    209400
2.511886e+09    0.000000e+00    0.000000e+00    2.030587e-03    184800
3.981072e+09    0.000000e+00    9.748379e-04    2.239931e-03    104038
6.309573e+09    1.989827e-04    1.287225e-03    2.337628e-03    55924
1.000000e+10    6.359482e-04    1.448490e-03    2.434648e-03    34006
1.584893e+10    7.937452e-04    1.576513e-03    2.653042e-03    21275
2.511886e+10    9.294675e-04    1.792146e-03    3.020595e-03    13429
3.981072e+10    1.147820e-03    2.185278e-03    3.570619e-03    8741
6.309573e+10    1.402731e-03    2.654848e-03    4.446429e-03    5530
1.000000e+11    1.801234e-03    3.371877e-03    5.691436e-03    3407
1.584893e+11    2.400469e-03    4.341692e-03    7.188145e-03    2205
2.511886e+11    3.050953e-03    5.625873e-03    9.357472e-03    1284
3.981072e+11    4.170166e-03    7.379980e-03    1.480546e-02    832
6.309573e+11    5.445236e-03    1.092902e-02    1.756019e-02    448
1.000000e+12    7.204109e-03    1.196814e-02    1.912576e-02    244
1.584893e+12    7.305106e-03    1.194413e-02    1.802554e-02    134
2.511886e+12    7.528953e-03    1.196796e-02    1.893718e-02    61
3.981072e+12    5.170213e-03    1.097921e-02    1.558143e-02    23
6.309573e+12    5.858139e-03    8.026517e-03    9.506542e-03    13
1.584893e+13    2.607894e-03    2.607894e-03    2.607894e-03    1
