# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 5.00
# Number of particles: 1504^3
# Halo mass: M_200_crit
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_200 (16th per) [-]     M_star / M_200 (50th per) [-]    M_star / M_200 (84th per) [-]    Counts [-]
1.000000e+06    3.425957e-04    7.431708e-04    7.947358e-04    14
1.584893e+06    4.392637e-04    6.987662e-04    9.954656e-04    350
2.511886e+06    9.087366e-04    1.422504e-03    2.066644e-03    538
3.981072e+06    1.163800e-03    1.905738e-03    2.857461e-03    826
6.309573e+06    1.512536e-03    2.510091e-03    3.906944e-03    1350
1.000000e+07    1.564538e-03    2.747474e-03    4.496910e-03    805
1.584893e+07    1.515414e-03    2.396787e-03    4.101151e-03    418
2.511886e+07    1.351831e-03    2.233727e-03    3.571069e-03    199
3.981072e+07    1.539496e-03    2.377197e-03    3.335788e-03    93
6.309573e+07    1.655859e-03    2.349137e-03    3.193356e-03    64
1.000000e+08    1.893789e-03    2.679976e-03    3.590849e-03    40
1.584893e+08    2.172850e-03    2.682700e-03    3.727160e-03    24
2.511886e+08    2.556635e-03    3.070215e-03    4.507250e-03    20
3.981072e+08    2.575356e-03    3.394916e-03    4.022692e-03    13
6.309573e+08    3.912173e-03    4.203259e-03    4.494346e-03    2
1.000000e+09    4.565457e-03    5.901685e-03    8.371493e-03    3
