# Stellar mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 5.00
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_vir [M_sun]    M_star (16th per) [M_sun]     M_star (50th per) [M_sun]    M_star (84th per) [M_sun]    Counts [-]
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    41
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    165
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    641
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    1882
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    5356
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    7804
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    5597
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    4475
1.584893e+09    0.000000e+00    0.000000e+00    3.809645e+06    3767
2.511886e+09    0.000000e+00    2.669675e+06    6.939459e+06    2330
3.981072e+09    0.000000e+00    5.726202e+06    1.041747e+07    1115
6.309573e+09    4.161492e+06    9.274595e+06    1.604850e+07    573
1.000000e+10    8.134306e+06    1.531485e+07    2.345311e+07    319
1.584893e+10    1.371570e+07    2.393780e+07    4.025459e+07    160
2.511886e+10    2.399255e+07    4.227224e+07    6.902963e+07    102
3.981072e+10    4.533252e+07    7.803236e+07    1.094126e+08    60
6.309573e+10    6.083796e+07    1.400904e+08    2.121632e+08    40
1.000000e+11    1.853201e+08    2.848120e+08    4.570635e+08    20
1.584893e+11    2.715539e+08    3.762554e+08    5.741019e+08    10
2.511886e+11    3.936134e+08    3.936134e+08    3.936134e+08    1
3.981072e+11    1.239188e+09    1.239188e+09    1.239188e+09    1
