# Stellar mass / Halo mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 4.00
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_vir [M_sun]    M_star / M_vir (16th per) [-]     M_star / M_vir (50th per) [-]    M_star / M_vir (84th per) [-]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    25
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    1800
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    10435
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    36755
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    124068
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    365931
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    534095
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    370557
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    271083
1.584893e+09    0.000000e+00    0.000000e+00    1.441673e-03    246234
2.511886e+09    0.000000e+00    0.000000e+00    2.392529e-03    177379
3.981072e+09    0.000000e+00    1.241410e-03    2.432278e-03    90306
6.309573e+09    4.439365e-04    1.357801e-03    2.358851e-03    49100
1.000000e+10    6.880630e-04    1.428196e-03    2.359511e-03    29181
1.584893e+10    8.006158e-04    1.502548e-03    2.447269e-03    17815
2.511886e+10    9.307488e-04    1.687811e-03    2.736781e-03    11064
3.981072e+10    1.138364e-03    1.951061e-03    3.185189e-03    6851
6.309573e+10    1.395442e-03    2.381396e-03    3.805870e-03    3986
1.000000e+11    1.761521e-03    2.960470e-03    4.614186e-03    2445
1.584893e+11    2.235497e-03    3.759676e-03    6.040069e-03    1413
2.511886e+11    3.097494e-03    4.957880e-03    8.095443e-03    844
3.981072e+11    3.819656e-03    6.685704e-03    1.434041e-02    432
6.309573e+11    5.006273e-03    1.053755e-02    1.791729e-02    207
1.000000e+12    7.662148e-03    1.200088e-02    1.755006e-02    94
1.584893e+12    8.449564e-03    1.290691e-02    2.116110e-02    44
2.511886e+12    9.441901e-03    1.275531e-02    2.005942e-02    17
3.981072e+12    6.264218e-03    1.085454e-02    1.379212e-02    3
