# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 0.20
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_vir (16th per) [-]     M_star / M_vir (50th per) [-]    M_star / M_vir (84th per) [-]    Counts [-]
1.000000e+06    1.902756e-04    5.088721e-04    1.911784e-03    4365
1.584893e+06    1.608663e-04    2.432490e-04    4.969648e-04    108
2.511886e+06    3.434061e-04    6.413593e-04    1.983859e-03    19084
3.981072e+06    4.634092e-04    7.728331e-04    1.799619e-03    19392
6.309573e+06    5.982740e-04    9.865635e-04    2.088409e-03    30327
1.000000e+07    7.303704e-04    1.171277e-03    2.235382e-03    21012
1.584893e+07    8.783591e-04    1.384939e-03    2.448065e-03    18162
2.511886e+07    1.060498e-03    1.645282e-03    2.846972e-03    14956
3.981072e+07    1.272356e-03    1.892091e-03    3.251632e-03    11496
6.309573e+07    1.470934e-03    2.113059e-03    3.407710e-03    8095
1.000000e+08    1.733825e-03    2.475988e-03    3.900905e-03    6111
1.584893e+08    2.101844e-03    2.893359e-03    4.452662e-03    4548
2.511886e+08    2.522166e-03    3.467982e-03    5.286416e-03    3380
3.981072e+08    3.097452e-03    4.261296e-03    6.677227e-03    2486
6.309573e+08    3.807940e-03    5.222876e-03    8.152911e-03    2035
1.000000e+09    4.803415e-03    6.610126e-03    9.988952e-03    1696
1.584893e+09    6.027549e-03    8.045748e-03    1.205438e-02    1371
2.511886e+09    7.288955e-03    9.724931e-03    1.388978e-02    1175
3.981072e+09    9.022075e-03    1.171203e-02    1.555905e-02    984
6.309573e+09    1.026154e-02    1.378896e-02    1.811539e-02    748
1.000000e+10    1.193952e-02    1.570009e-02    2.050701e-02    649
1.584893e+10    1.234230e-02    1.751744e-02    2.215618e-02    594
2.511886e+10    1.166176e-02    1.842802e-02    2.343816e-02    476
3.981072e+10    9.600371e-03    1.696918e-02    2.292871e-02    367
6.309573e+10    8.914980e-03    1.482279e-02    2.236660e-02    263
1.000000e+11    5.771258e-03    9.715996e-03    1.528746e-02    158
1.584893e+11    3.971230e-03    6.916561e-03    1.022703e-02    53
2.511886e+11    2.827654e-03    4.606788e-03    6.220131e-03    23
3.981072e+11    1.708149e-03    1.950710e-03    2.170365e-03    4
