# Stellar mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 2.00
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_vir [M_sun]    M_star (16th per) [M_sun]     M_star (50th per) [M_sun]    M_star (84th per) [M_sun]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    5
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    959
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    6715
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    18730
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    78775
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    318885
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    534806
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    405176
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    285365
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    188241
2.511886e+09    0.000000e+00    0.000000e+00    3.417719e+06    151624
3.981072e+09    0.000000e+00    1.471068e+06    7.071745e+06    118857
6.309573e+09    0.000000e+00    6.526062e+06    1.286773e+07    67776
1.000000e+10    4.994769e+06    1.253093e+07    2.310623e+07    40521
1.584893e+10    1.049220e+07    2.295916e+07    4.099232e+07    25493
2.511886e+10    2.032732e+07    4.306694e+07    7.634076e+07    16693
3.981072e+10    4.128879e+07    8.476312e+07    1.504653e+08    10625
6.309573e+10    8.233962e+07    1.719020e+08    3.064624e+08    7140
1.000000e+11    1.742485e+08    3.579638e+08    6.361691e+08    4765
1.584893e+11    3.666657e+08    7.552108e+08    1.344608e+09    3041
2.511886e+11    7.716118e+08    1.608102e+09    2.790072e+09    2024
3.981072e+11    1.694462e+09    3.193400e+09    5.641303e+09    1286
6.309573e+11    3.468046e+09    7.229166e+09    1.204035e+10    778
1.000000e+12    7.436931e+09    1.352770e+10    2.054934e+10    550
1.584893e+12    1.280136e+10    1.965814e+10    3.023695e+10    277
2.511886e+12    1.623436e+10    2.852021e+10    4.088026e+10    181
3.981072e+12    2.852535e+10    4.216352e+10    7.082375e+10    100
6.309573e+12    3.652215e+10    5.347942e+10    7.666730e+10    45
1.000000e+13    4.885955e+10    6.818612e+10    1.111072e+11    28
1.584893e+13    8.977386e+10    1.029885e+11    1.283830e+11    4
2.511886e+13    8.992594e+10    1.156848e+11    1.577022e+11    4
