# Stellar mass / Halo mass - Halo mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 0.20
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_vir [M_sun]    M_star / M_vir (16th per) [-]     M_star / M_vir (50th per) [-]    M_star / M_vir (84th per) [-]    Counts [-]
2.511886e+07    0.000000e+00    0.000000e+00    0.000000e+00    2
3.981072e+07    0.000000e+00    0.000000e+00    0.000000e+00    271
6.309573e+07    0.000000e+00    0.000000e+00    0.000000e+00    1747
1.000000e+08    0.000000e+00    0.000000e+00    0.000000e+00    4528
1.584893e+08    0.000000e+00    0.000000e+00    0.000000e+00    22260
2.511886e+08    0.000000e+00    0.000000e+00    0.000000e+00    186973
3.981072e+08    0.000000e+00    0.000000e+00    0.000000e+00    414953
6.309573e+08    0.000000e+00    0.000000e+00    0.000000e+00    307371
1.000000e+09    0.000000e+00    0.000000e+00    0.000000e+00    227541
1.584893e+09    0.000000e+00    0.000000e+00    0.000000e+00    161419
2.511886e+09    0.000000e+00    0.000000e+00    0.000000e+00    113766
3.981072e+09    0.000000e+00    0.000000e+00    8.887409e-04    79797
6.309573e+09    0.000000e+00    4.058254e-04    1.335405e-03    56720
1.000000e+10    0.000000e+00    8.034057e-04    1.824689e-03    37500
1.584893e+10    4.834372e-04    1.148639e-03    2.242281e-03    23868
2.511886e+10    7.247900e-04    1.469282e-03    2.640649e-03    15562
3.981072e+10    1.047844e-03    1.933517e-03    3.403436e-03    10257
6.309573e+10    1.467188e-03    2.609331e-03    4.698815e-03    6768
1.000000e+11    2.035428e-03    3.644430e-03    6.884030e-03    4421
1.584893e+11    2.974590e-03    5.495906e-03    9.855868e-03    3042
2.511886e+11    4.513543e-03    8.120934e-03    1.298341e-02    2096
3.981072e+11    6.693994e-03    1.099489e-02    1.656437e-02    1364
6.309573e+11    9.174245e-03    1.459953e-02    2.003981e-02    935
1.000000e+12    1.148447e-02    1.714398e-02    2.282884e-02    633
1.584893e+12    1.029149e-02    1.686777e-02    2.207578e-02    420
2.511886e+12    1.025977e-02    1.533489e-02    2.133196e-02    293
3.981072e+12    8.217427e-03    1.271891e-02    1.815492e-02    203
6.309573e+12    7.515554e-03    1.069989e-02    1.454823e-02    145
1.000000e+13    6.127430e-03    8.328045e-03    1.141531e-02    81
1.584893e+13    5.121009e-03    6.687996e-03    8.651042e-03    62
2.511886e+13    4.144340e-03    5.585302e-03    7.630120e-03    33
3.981072e+13    3.498377e-03    5.051891e-03    6.126302e-03    22
6.309573e+13    2.415583e-03    3.521887e-03    4.277694e-03    13
1.000000e+14    2.188437e-03    2.840807e-03    3.221211e-03    5
1.584893e+14    2.355861e-03    2.355861e-03    2.355861e-03    1
2.511886e+14    1.028156e-03    1.716759e-03    1.951458e-03    4
3.981072e+14    7.020001e-04    7.020001e-04    7.020001e-04    1
