# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Redshift: 1.00
# Number of particles: 1504^3
# Halo mass: M_vir (BN98)
# Stellar mass: 30kpc apertures
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_vir (16th per) [-]     M_star / M_vir (50th per) [-]    M_star / M_vir (84th per) [-]    Counts [-]
1.000000e+06    2.105611e-04    3.906157e-04    1.259220e-03    5314
1.584893e+06    1.863663e-04    2.983806e-04    5.340558e-04    866
2.511886e+06    3.812638e-04    6.204953e-04    1.417141e-03    14670
3.981072e+06    5.565065e-04    9.132465e-04    1.835357e-03    40698
6.309573e+06    7.406631e-04    1.212485e-03    2.260381e-03    42519
1.000000e+07    8.665634e-04    1.391748e-03    2.402067e-03    30555
1.584893e+07    1.009571e-03    1.580578e-03    2.598646e-03    23858
2.511886e+07    1.183149e-03    1.832594e-03    2.917640e-03    18256
3.981072e+07    1.369003e-03    2.080082e-03    3.213748e-03    13572
6.309573e+07    1.608160e-03    2.350122e-03    3.496462e-03    9723
1.000000e+08    1.902629e-03    2.749567e-03    3.982318e-03    7022
1.584893e+08    2.242322e-03    3.217601e-03    4.566883e-03    5220
2.511886e+08    2.640225e-03    3.813014e-03    5.364675e-03    3809
3.981072e+08    3.183439e-03    4.537319e-03    6.255004e-03    3075
6.309573e+08    3.984837e-03    5.611737e-03    7.681496e-03    2352
1.000000e+09    4.796932e-03    6.673440e-03    9.169713e-03    1942
1.584893e+09    5.722619e-03    8.119557e-03    1.090681e-02    1600
2.511886e+09    7.052174e-03    9.862253e-03    1.289565e-02    1214
3.981072e+09    8.401591e-03    1.173318e-02    1.514934e-02    929
6.309573e+09    9.921307e-03    1.380505e-02    1.750584e-02    831
1.000000e+10    1.023816e-02    1.574991e-02    2.000363e-02    626
1.584893e+10    1.060196e-02    1.706849e-02    2.276454e-02    612
2.511886e+10    1.114985e-02    1.785469e-02    2.398916e-02    457
3.981072e+10    9.793329e-03    1.728874e-02    2.524621e-02    347
6.309573e+10    9.124039e-03    1.442797e-02    2.307690e-02    192
1.000000e+11    6.082191e-03    1.013200e-02    1.777903e-02    98
1.584893e+11    4.748911e-03    8.127860e-03    1.120156e-02    32
2.511886e+11    5.984714e-03    8.105120e-03    8.887088e-03    5
3.981072e+11    3.385057e-03    3.464126e-03    3.543196e-03    2
