# Stellar mass / Halo mass - Stellar mass relation for the EAGLE-Ref model.
# Box size: 100^3 Mpc^3
# Number of particles: 1504^3
# Centrals only - Halos with 0 stellar mass included.
# M_star [M_sun]    M_star / M_200 (16th per) [-]     M_star / M_200 (50th per) [-]    M_star / M_200 (84th per) [-]    Counts [-]
3.981072e+06    5.191265e-04    8.490728e-04    1.993154e-03    15284
6.309573e+06    6.591800e-04    1.066860e-03    2.229281e-03    27153
1.000000e+07    8.166999e-04    1.282038e-03    2.414881e-03    19163
1.584893e+07    9.841290e-04    1.526845e-03    2.702624e-03    16776
2.511886e+07    1.192806e-03    1.809554e-03    3.122490e-03    13967
3.981072e+07    1.441369e-03    2.113910e-03    3.649861e-03    10765
6.309573e+07    1.679206e-03    2.358223e-03    3.821849e-03    7584
1.000000e+08    2.003175e-03    2.752876e-03    4.407179e-03    5707
1.584893e+08    2.412058e-03    3.234234e-03    4.893417e-03    4321
2.511886e+08    2.939153e-03    3.899500e-03    6.009393e-03    3189
3.981072e+08    3.553385e-03    4.752299e-03    7.470452e-03    2394
6.309573e+08    4.371921e-03    5.846824e-03    9.516536e-03    1874
1.000000e+09    5.499711e-03    7.417742e-03    1.165515e-02    1593
1.584893e+09    6.894563e-03    9.340617e-03    1.373911e-02    1320
2.511886e+09    8.662102e-03    1.118908e-02    1.622546e-02    1148
3.981072e+09    1.057696e-02    1.378378e-02    1.820614e-02    943
6.309573e+09    1.250342e-02    1.576212e-02    2.016582e-02    737
1.000000e+10    1.365709e-02    1.807490e-02    2.343997e-02    588
1.584893e+10    1.490623e-02    2.006477e-02    2.567690e-02    599
2.511886e+10    1.423442e-02    2.131853e-02    2.714468e-02    449
3.981072e+10    1.170486e-02    1.948093e-02    2.632799e-02    352
6.309573e+10    1.126147e-02    1.777596e-02    2.607022e-02    259
1.000000e+11    7.544710e-03    1.258173e-02    1.892499e-02    161
1.584893e+11    4.711356e-03    8.028836e-03    1.176591e-02    65
2.511886e+11    3.134317e-03    4.863549e-03    6.704864e-03    23
3.981072e+11    1.357886e-03    2.060996e-03    3.600669e-03    6
