#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ(Centrals) Err+ Err- Median_FQ(Sats) Err+ Err- Median_FQ(Sats_MW) Err+ Err- Median_FQ(Sats_Group) Err+ Err- Median_FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 1.86176e-06 1.17777e-05 1.86176e-06 0 0.00015189 0 0 0.000284738 0 0 0 0 0 0 0 7.2 7.4 444668 380651 64017 3653 26 0
7.5 0 3.38401e-05 0 0 0.000151545 0 0 0.000257998 0 0 0 0 0 0 0 7.4 7.6 342307 285581 56726 3702 36 0
7.7 5.26832e-06 5.41018e-05 5.26832e-06 0 0.000254953 0 0 0.000538938 0 0 0 0 0 0 0 7.6 7.8 251677 205599 46078 3581 37 0
7.9 6.56702e-06 8.51464e-05 6.56702e-06 0 0.000524534 0 0 0.00189573 0 0 0 0 0 0 0 7.8 8 178314 143643 34671 3200 40 0
8.1 9.94659e-06 0.00015663 9.94659e-06 3.50116e-05 0.000752562 3.50116e-05 0 0.00170285 0 0 0 0 0 0 0 8 8.2 122783 99225 23558 2783 24 0
8.3 1.45047e-05 0.000267897 1.45047e-05 3.85178e-05 0.00166609 3.85178e-05 0 0.00222124 0 0 0 0 0 0 0 8.2 8.4 82648 67576 15072 2292 17 0
8.5 2.33367e-05 0.000383136 2.33367e-05 0 0.00143914 0 0 0.00279799 0 0 0 0 0 0 0 8.4 8.6 54928 45407 9521 1879 17 0
8.7 2.44439e-05 0.000765275 2.44439e-05 0 0.00439739 0 0 0.00649773 0 0 0 0 0 0 0 8.6 8.8 36060 30311 5749 1442 13 0
8.9 0 0.00158676 0 0 0.0042861 0 0 0.00765111 0 0 0 0 0 0 0 8.8 9 23490 19893 3597 1141 10 0
9.1 0 0.00394066 0 0 0.00847099 0 0 0.0125786 0 0 0 0 0 0 0 9 9.2 15262 13123 2139 884 8 0
9.3 0 0.0044012 0 0 0.0150646 0 0 0.015544 0 0 0 0 0 0 0 9.2 9.4 9547 8367 1180 604 7 0
9.5 0 0.00727537 0 0 0.0277778 0 0 0.0286344 0 0 0.125 0 0 0 0 9.4 9.6 5887 5181 706 405 6 0
9.7 0.000288268 0.0110564 0.000288268 0 0.0331325 0 0 0.0311419 0 0 0.111111 0 0 0 0 9.6 9.8 3692 3319 373 230 7 0
9.9 0.00054615 0.0225086 0.00054615 0 0.0420168 0 0 0.0289855 0 0 0.5 0 0 0 0 9.8 10 2179 1954 225 130 1 0
10.1 0.00116144 0.026209 0.00116144 0 0.0689655 0 0 0.0666667 0 0 0.285714 0 0 0 0 10 10.2 1229 1130 99 53 2 0
10.3 0.00510204 0.0476363 0.00510204 0 0.0877193 0 0 0.05 0 0 0.166667 0 0 0 0 10.2 10.4 733 668 65 24 11 0
10.5 0.00898204 0.0652538 0.00898204 0 0.0555556 0 0 0 0 0 0.2 0 0 0 0 10.4 10.6 407 377 30 6 3 0
10.7 0.019802 0.0854612 0.019802 0 0.0909091 0 0 0 0 0 0 0 0 0 0 10.6 10.8 205 188 17 4 2 0
10.9 0.02 0.126067 0.02 0 0 0 0 0 0 0 0 0 0 0 0 10.8 11 94 87 7 1 2 0
11.1 0 0.142857 0 0 0 0 0 0 0 0 0 0 0 0 0 11 11.2 31 27 4 0 1 0
11.3 0 0.142857 0 0 0 0 0 0 0 0 0 0 0 0 0 11.2 11.4 17 15 2 0 0 0
11.5 0 0.166667 0 0 0 0 0 0 0 0 0 0 0 0 0 11.4 11.6 2 2 0 0 0 0
11.7 0 0.333333 0 0 0 0 0 0 0 0 0 0 0 0 0 11.6 11.8 1 1 0 0 0 0
11.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.8 12 0 0 0 0 0 0
12.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0 0
