# Extracted by hand from the top-left panel of Figure 13.
# Bibcode: 2016MNRAS.461..458D
# Stellar Mass [M_sun], Star Formation Rate [M_sun / Year]
7101794.286165666, 0.009980256379497817
12640864.198429246, 0.014443209195722562
23193422.925966688, 0.021504708094766234
44325228.77785929, 0.03319280904512058
77071301.77082893, 0.04737282525918182
145136754.78697276, 0.07199743519533144
263997579.9567061, 0.10942202932473923
458831660.04879737, 0.15810324260656133
920106894.7223406, 0.24334164982637202
1488764410.7110116, 0.3406690120781434
2966106414.9841757, 0.5326822393488962
5155136386.067487, 0.7660308404037973
9561701271.312801, 1.1715962146684196
18480619143.45341, 1.789054923658475
32469595513.956562, 2.58499487148232
59368864483.41878, 3.8879429298340282
107429104023.05305, 5.840247925347954
207636308648.23126, 8.890066601277077
360093552078.34973, 12.784479539145197
659268067229.2692, 19.216259347016294
1238811898867.363, 29.43652554942531
2195489041121.7954, 42.5998972710734
3993501126081.6943, 62.829333569941625
