# Table 1, Hunter et al (2021) (R_D, SFR_D)
# Table 2, Oh et al. (2015) (M_star_kin, M_star_SED)
# Mstar_KIN   Mstar_SED	    R_D		 SFR_D
# (10^7 Msun)	(10^7 Msun) (kpc) (log10(SFR/(Msun kpc^-2 yr^-1)))
# (14)	(15)	(6)	(8)
0.41	0.49	0.25	-1.77
-99.9	-99.9	0.87	-2.20
-99.9	-99.9	1.13	-2.45
-99.9	-99.9	1.34	-2.38
9.79	10.60	1.48	-1.81
7.20	5.31	1.26	-2.53
0.96	0.97	0.47	-1.96
1.24	1.96	0.44	-2.17
6.18	3.27	1.21	-2.61
5.79	6.54	0.97	-2.84
2.27	1.62	0.84	-2.18
2.62	3.04	1.22	-2.60
1.31	0.83	0.48	-1.77
5.13	5.85	0.83	-2.06
0.04	0.06	0.16	-2.66
1.60	1.51	0.52	-3.17
-99.9	-99.9	0.63	-2.94
11.81	-99.9	0.39	-99.9
1.94	2.88	0.53	-1.97
20.69	36.29	0.46	-0.32
10.81	6.94	1.91	-2.04
12.48	46.62	0.77	-1.52
0.30	0.77	0.23	-99.9
1.23	1.62	1.18	-2.78
-99.9	1.43	0.33	-1.21
5.81	-99.9	1.01	-1.88
