# Data taken from Lin et al. (2012).
#
# log10(M_500 / Msun) M_500_error log10(M_gas / Msun) M_gas_error log10(M_star / Msun) M_star_error redshift
14.5731 3.3897e+13 13.6496 4.51445e+12 12.7251 5.32365e+11 0.187
14.8143 6.77695e+13 13.8441 7.16859e+12 12.9037 8.02702e+11 0.171
14.7518 4.78064e+13 13.8354 6.86117e+12 12.6466 4.44008e+11 0.116
14.9062 8.99364e+13 13.9593 9.85625e+12 12.8404 6.93859e+11 0.178
14.513 2.95842e+13 13.5828 3.85938e+12 12.7236 5.32069e+11 0.224
14.7755 6.01994e+13 13.8908 8.07932e+12 12.8824 7.67967e+11 0.32
14.7134 5.55416e+13 13.824 7.15546e+12 12.7312 5.47054e+11 0.426
14.7025 5.93912e+13 13.8717 8.22828e+12 12.6459 4.54903e+11 0.43
14.6838 4.93555e+13 13.8807 7.94619e+12 12.7905 6.27354e+11 0.45
14.7176 4.97673e+13 13.8051 6.48186e+12 12.8068 6.46989e+11 0.463
14.5587 6.4033e+13 13.6427 5.85478e+12 12.5972 4.04741e+11 0.487
14.9493 1.0753e+14 14.1409 1.49812e+13 12.8421 7.09078e+11 0.55
13.9851 1.11623e+13 13.0417 1.28748e+12 12.3806 2.50389e+11 0.574
14.8947 6.56228e+13 14.057 1.14447e+13 12.6624 4.6219e+11 0.199
14.502 3.50616e+13 13.588 4.40114e+12 12.4415 2.78798e+11 0.208
14.8911 6.76083e+13 13.9981 9.98983e+12 13.0284 1.06991e+12 0.217
14.9363 7.51156e+13 14.0789 1.20356e+13 13.1185 1.31527e+12 0.224
14.8153 7.03323e+13 13.9281 8.59829e+12 12.9231 8.39707e+11 0.229
14.7352 4.94172e+13 13.8697 7.67819e+12 12.4337 2.74866e+11 0.23
15.1032 1.17446e+14 14.2364 1.73707e+13 12.8627 7.34164e+11 0.282
14.8128 5.40039e+13 14.0547 1.13656e+13 12.8444 7.01887e+11 0.253
14.4294 3.02379e+13 13.508 3.91884e+12 12.5475 3.56873e+11 0.279
14.7345 5.68231e+13 13.8683 7.60183e+12 13.0202 1.05359e+12 0.355
14.8207 7.32532e+13 13.9129 9.03591e+12 12.8479 7.09897e+11 0.387
14.7551 6.47085e+13 13.8414 7.81343e+12 12.7083 5.19374e+11 0.399
15.22 1.67396e+14 14.3263 2.15775e+13 13.0353 1.09932e+12 0.451
14.7393 6.97963e+13 13.8699 8.69171e+12 12.7318 5.53657e+11 0.543
15.1687 1.29599e+14 14.3799 2.40742e+13 13.1908 1.57209e+12 0.546
14.9898 8.28067e+13 14.1435 1.395e+13 13.0747 1.18879e+12 0.182
14.53 4.37452e+13 13.6388 4.67493e+12 12.4326 2.78358e+11 0.3501
14.4109 3.29536e+13 13.5041 3.41056e+12 12.6569 4.60075e+11 0.37
14.4835 6.40131e+13 13.5856 4.97312e+12 12.7717 6.02739e+11 0.5901
14.2388 2.46305e+13 13.3291 2.30581e+12 12.3967 2.56903e+11 0.4751
14.2522 2.89108e+13 13.2999 2.30746e+12 12.0864 1.30513e+11 0.3457
14.1207 2.04703e+13 13.1989 1.79262e+12 12.2432 1.81216e+11 0.3631
14.4343 3.83973e+13 13.5156 3.62924e+12 12.686 4.91691e+11 0.473
14.2693 2.85417e+13 13.3491 2.5491e+12 12.4341 2.81609e+11 0.475
14.4023 4.09933e+13 13.5213 3.9725e+12 12.4552 2.93384e+11 0.5
14.3183 2.66098e+13 13.4134 2.91394e+12 12.6702 4.81283e+11 0.546
14.4568 3.87148e+13 13.4884 3.43683e+12 12.2672 1.96812e+11 0.372
14.19 2.20815e+13 13.2206 1.79891e+12 12.631 4.32472e+11 0.464
14.7514 4.6107e+13 13.8356 6.86459e+12 12.8251 6.69034e+11 0.113
14.9371 7.94102e+13 14.061 1.16905e+13 13.0159 1.0386e+12 0.1511
14.9872 8.96024e+13 14.1108 1.30625e+13 13.0018 1.00774e+12 0.25198
