#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sig_SFR   Sig_star      Sig_mol      Sig_mol_4p35   Sig_mol_N12   Sig_mol_B13      F_CO_60pc      F_CO_150pc   Sig_mol_combo
NGC0685          bar     166  1.000000  1.000000  0.000000  0.383356  0.00819228  252.5056    8.9120   12.3664   15.5879       NaN       NaN   42.6819    8.8673
NGC1087          bar     108  1.000000  1.000000  0.000000  0.355616  0.07805878  352.6261   66.0767   87.5657   60.4629   35.6088       NaN  310.7683   66.1556
NGC1097          bar     796  0.948166      -NaN  4.510324  4.594282  0.00437559  245.6129    5.7736    7.3303   13.0073   24.3424       NaN    3.8875    5.9160
NGC1097          bar     797  1.000000      -NaN  4.518685  4.652623  0.00704823  294.4146   15.8186   20.0750   32.3206   21.4015       NaN   24.3298   15.8611
NGC1097          bar     798  1.000000      -NaN  4.820039  4.728107  0.00992008  250.8199   22.1580   27.6870   26.2138   16.0835       NaN  132.4246   22.1637
NGC1097          bar     799  1.010001      -NaN  5.365243  5.367719  0.00614430  149.4435    9.2203   11.2020   20.2363   57.2820       NaN    2.4023    8.9498
NGC1097          bar     857  0.999198      -NaN  3.022799  3.309351  0.01519025  416.7897   10.9890   15.0627   25.9092   27.4987       NaN    7.4236   11.1671
NGC1097          bar     858  1.000000      -NaN  2.398245  3.074064  0.04655333  727.0530   30.7455   43.5207   73.8877   49.0047       NaN   13.0056   30.9162
NGC1097          bar     859  1.000000      -NaN  2.259342  2.126056  0.02283666  624.9040   38.9632   55.5488   67.8545   33.4444       NaN   44.2792   39.0086
NGC1097          bar     860  1.000000      -NaN  2.682622  2.679288  0.00652637  401.7755   39.5301   55.1418   45.3132   24.5138       NaN  160.5782   39.6212
NGC1097          bar     861  1.000000      -NaN  3.468007  3.382345  0.00618720  210.2468   19.5255   26.1570   42.9335   31.3953       NaN   20.2582   19.6357
NGC1097          bar     919  1.000000      -NaN  2.340420  4.146843  0.02951506  407.4610   44.4294   63.0779  106.9616   81.6281       NaN   12.2517   44.6463
NGC1097          bar     923  1.000000      -NaN  2.340420  2.274156  0.01760124  515.3946   36.0235   51.1438   64.7694   33.6883       NaN   39.9336   36.0195
NGC1097          bar     981  1.000000      -NaN  3.468007  3.653519  0.00491950  214.1238    9.8603   13.2091   22.9336   30.8805       NaN    6.2885    9.9029
NGC1097          bar     982  1.000000      -NaN  2.682622  2.620077  0.00739791  384.2775   22.5986   31.5235   32.5812   17.7021       NaN   78.4273   22.5989
NGC1097          bar     983  1.000000      -NaN  2.259342  2.137635  0.01462492  651.8923   20.4657   29.1774   45.0612   25.1679       NaN   21.2770   20.4784
NGC1097          bar     984  1.000000      -NaN  2.398245  2.435168  0.03542191  764.0058   21.5652   30.5258   51.3436   29.4730       NaN   16.5630   21.6943
NGC1097          bar     985  0.998841      -NaN  3.022799  2.592105  0.01422025  403.0403   11.9805   16.4217   28.2468   28.0635       NaN    8.2396   12.0585
NGC1097          bar    1044  1.000000      -NaN  4.820039  4.870443  0.00952186  270.2327   23.8457   29.7958   28.5344   17.0544       NaN  127.7818   23.9919
NGC1097          bar    1045  1.000000      -NaN  4.518685  4.523194  0.00840355  315.3354   19.1594   24.3146   29.0533   16.7109       NaN   61.7752   19.1810
NGC1097          bar    1046  0.905571      -NaN  4.510324  4.701039  0.00566321  231.2841    9.1286   11.5898   20.5658   16.4962       NaN   15.6974    9.0194
NGC1097          bar    2603  0.990019      -NaN  5.648356  5.543071  0.00886359  251.3721   19.7361   23.6309   35.0608   22.5751       NaN   35.8396   19.6847
NGC1097          bar    2604  1.000000      -NaN  5.922788  5.970122  0.01096793  196.7548   19.8705   23.4579   28.7515   18.5919       NaN   67.2321   19.9641
NGC1097          bar    2664  0.987720      -NaN  3.846513  3.407200  0.00682662  232.0971    2.6137    3.4338       NaN       NaN       NaN       NaN    2.7083
NGC1097          bar    2665  1.000000      -NaN  3.430910  3.291818  0.00732032  327.9470   10.3550   13.8985   24.1117   23.9320       NaN    9.1915   10.5568
NGC1097          bar    2666  1.000000      -NaN  3.389013  3.379098  0.00563330  356.9050   21.9523   29.5279   45.7178   28.7516       NaN   24.0896   22.1679
NGC1097          bar    2667  1.000000      -NaN  3.733425  3.719456  0.00717612  292.2659   28.4633   37.6128   36.3904   21.2921       NaN  109.0032   28.5039
NGC1097          bar    2668  0.992774      -NaN  4.373820  4.419784  0.00581308  164.1855    8.3727   10.7052   18.9418   27.2151       NaN    6.2624    8.3344
NGC1097          bar    2727  1.000000      -NaN  2.455867  3.191553  0.03209171  612.2454   33.4526   47.2123   80.2518   53.1162       NaN   13.7335   33.7927
NGC1097          bar    2730  0.994541      -NaN  1.734004  1.741566  0.05037693  746.6233   88.4256  129.5235   95.5624   42.5134       NaN  201.2790   88.6202
NGC1097          bar    2731  1.000000      -NaN  2.734257  2.552775  0.00656084  298.7763   25.5484   35.5436   60.7703   48.7991       NaN   12.5880   25.6109
NGC1097          bar    2790  1.000000      -NaN  2.734257  3.368635  0.00470417  307.6328   12.3338   17.1591   29.3376   23.5758       NaN   12.8365   12.4065
NGC1097          bar    2791  0.991392      -NaN  1.734004  1.715444  0.04842700  805.6824   66.8356   97.8990   79.8385   34.2070       NaN  147.1889   67.0384
NGC1097          bar    2794  1.000000      -NaN  2.455867  2.241322  0.06465845  564.0098   74.3496  104.9309  178.3625  114.2916       NaN   14.7634   74.4729
NGC1097          bar    2853  1.010613      -NaN  4.373820  4.477650  0.00547853  170.5598    8.9555   11.4503   20.2602   32.7557       NaN    5.1961    8.9283
NGC1097          bar    2854  1.000000      -NaN  3.733425  3.809083  0.00849325  330.1319   20.1723   26.6567   28.9927   16.3995       NaN   75.6125   20.2291
NGC1097          bar    2855  1.000000      -NaN  3.389013  3.411924  0.00705936  382.7662   14.3196   19.2612   33.3859   29.3631       NaN   10.5315   14.2265
NGC1097          bar    2856  1.000000      -NaN  3.430910  3.231424  0.00700737  328.2852    7.9201   10.6304   18.4420   18.6252       NaN    8.8801    7.9262
NGC1097          bar    2857  0.959948      -NaN  3.846513  3.585759  0.00516092  226.8560    5.4501    7.1601   12.5302   17.3086       NaN    6.0871    5.3758
NGC1097          bar    2917  1.000000      -NaN  5.922788  5.943862  0.00912778  173.6488   19.1547   22.6129   32.3900   22.4768       NaN   41.3109   19.2752
