#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted     Sigma_SFR      Sigma_star      Sigma_mol      Sigma_mol_4p35   Sigma_mol_N12   Sigma_mol_B13    F_CO_60pc      F_CO_150pc   Sigma_mol_combo
NGC0628       center     432  0.802653  0.855902  1.010672  0.818230  0.00977275  484.4496   17.8692   24.7820   32.1035   17.3403   56.5648   39.2359   17.9208
NGC0628       center     433  1.000000  1.000000  0.000000  0.398446  0.01301591  807.9087   21.4881   32.1635   41.4410   20.0703   43.4056   33.5603   21.3975
NGC1097       center     920  0.870970      -NaN  1.170210  1.008128  0.16443236 2033.2363  154.7757  233.3907  105.5977   39.2049       NaN  868.6168  155.4933
NGC1097       center     921  1.000000      -NaN  0.000000  0.371066  0.45991674 3904.1101  331.7608  531.3488  213.6106   64.6092       NaN 1096.0357  333.6352
NGC1097       center     922  0.853569      -NaN  1.170210  1.032498  0.21660374 1916.7102  215.2821  324.6300  148.6328   56.0719       NaN  836.9860  215.8044
NGC1097       center    2728  1.021613      -NaN  1.511400  0.952759  0.17878557 2160.8466  139.0337  206.0010   87.2378   32.9871       NaN 1111.5943  139.5711
NGC1097       center    2729  0.981653      -NaN  1.129671  0.802675  0.15586440 2212.7833  137.6744  208.0370   95.8270   34.0097       NaN  817.4636  138.1871
NGC1097       center    2792  0.885399      -NaN  1.129671  0.921529  0.26808497 2312.8466  175.7871  265.6283  152.9672   48.1497       NaN  406.8334  177.0304
NGC1097       center    2793  0.962725      -NaN  1.511400  1.025787  0.21899476 2097.4362  172.0917  254.9819  102.6135   40.6787       NaN 1303.5689  172.6827
NGC1300       center     577  0.991262  0.989539  0.000000  0.336336  0.03535748 1350.6088   99.5869  156.5896   85.9851   34.2951       NaN  431.3085   99.9540
NGC1317       center     162  0.925505  0.853891  0.000000  0.237798  0.03911568 3422.8570   83.2850  131.0301   68.2091       NaN       NaN  508.9817   83.8385
NGC1365       center    2435  0.923504  0.848415  1.681954  1.419100  0.50657957 2246.4750  442.2580  704.0630  302.1161       NaN       NaN  906.2977  442.4221
NGC1365       center    2436  1.000000  1.000000  0.000000  0.537099  1.34272344 5305.8950  791.5814 1296.0346  400.7754       NaN       NaN 2367.1970  792.7539
NGC1365       center    2437  0.929901  0.920033  1.681954  1.239428  0.48071637 1994.9390  437.5289  696.5343  233.3396       NaN       NaN 1964.5352  438.1255
NGC1365       center    7262  1.000000  1.000000  1.024839  1.083420  0.41467759 2642.4394  533.5734  858.7970  258.7301       NaN       NaN 2669.8387  534.8150
NGC1365       center    7263  0.936130  0.876746  1.507539  1.063526  0.26171777 2147.4906  307.3903  490.7830  163.0530       NaN       NaN 2002.9167  307.6845
NGC1365       center    7366  0.913625  0.882158  1.507539  1.097420  0.64279790 2716.0878  332.0005  530.0759  173.9678       NaN       NaN 2080.9033  334.0350
NGC1365       center    7367  1.000000  1.000000  1.024839  0.994760  0.99017265 2958.4625  585.0754  941.6905  282.1272       NaN       NaN 2716.7297  589.3826
NGC1433       center     599  1.000000  1.000000  0.000000  0.326273  0.04012721 3391.1841  118.9048  192.5855  112.6797       NaN       NaN  330.7224  119.1999
NGC1512       center    1128  0.940655  0.875505  1.008301  0.719332  0.02187682  954.0001   30.5821   46.9941   30.8940   13.2403       NaN  258.9201   30.8780
NGC1512       center    1129  1.000000  1.000000  0.000000  0.399230  0.04581960 2012.0593   57.7672   92.0064   77.8747   25.4348       NaN  108.3650   58.4563
NGC1512       center    1130  0.933010  0.880387  1.008301  0.785511  0.02081983 1208.7792   33.5611   51.5718   34.1938   13.3482       NaN  252.1112   34.1632
NGC1512       center    3347  0.893972  0.812712  1.232873  0.837235  0.02631970 1132.2419   24.8359   37.8608   31.5833   12.2650       NaN  125.2550   24.9869
NGC1512       center    3417  0.800466  0.852253  1.312573  0.998939  0.00965124  793.5116   21.8695   33.2444   25.9170   11.3893       NaN  155.7627   22.0113
NGC1512       center    3418  0.965961  0.827171  1.232873  0.767034  0.00873182  973.3872   21.8151   33.2558   20.6592    8.9608       NaN  314.6712   21.9622
NGC1672       center     643  1.000000  1.000000  0.000000  0.374151  0.81429983 3632.9280  386.3729  616.6213       NaN       NaN       NaN       NaN  407.5929
NGC2566       center     452  0.997705  0.999661  0.000000  0.372045  1.11415002 1707.7010  405.5393  645.6354  205.5413  105.5538       NaN 2303.4928  409.1393
NGC2775       center     440  1.000000  1.000000  0.000000  0.555617  0.00450313 4089.0373    1.0370    1.7079       NaN       NaN       NaN       NaN    1.1915
NGC2775       center    1301  1.085444  0.913421  1.004899  1.139240  0.00325518 2118.3339    0.7636    1.1923       NaN       NaN       NaN       NaN    0.3263
NGC2775       center    1345  1.736975  0.838610  1.222795  0.309890  0.00306738 2057.9474    1.6100    2.4849       NaN       NaN       NaN       NaN    1.5994
NGC2903       center     643  0.868028      -NaN  0.000000  0.413422  0.11780168  889.7428   66.4827  104.7915   46.5265   25.3457       NaN  833.2651   66.4687
NGC2997       center     926  1.000000  1.000000  0.000000  0.368764  0.10431794 1301.7568  158.9856  253.8375  135.5494   55.3783       NaN  454.5647  158.9893
NGC3351       center     239  0.994770  0.977744  0.000000  0.303048  0.13242934 1509.9738   72.8552  109.5243   56.7571   22.2625       NaN  572.3547   73.3442
NGC3507       center     215  0.875201  0.845354  0.000000  0.210371  0.03251158 1204.7830   38.4062   58.1511   30.7455   13.1546       NaN  528.9078   38.1851
NGC3521       center     554  1.000000      -NaN  0.000000  0.936167  0.02144618 2419.8049   25.2528   41.4462   43.0140   14.5170       NaN   53.5291   25.2678
NGC3627       center     603  0.908470  0.824900  0.000000  0.267900  0.05442440 2479.0321  105.3786  170.1199   62.4820   24.7476       NaN 1427.6921  105.3892
NGC4254       center     202  0.972256  0.967087  0.000000  0.346047  0.07320134 1377.5489  107.4520  163.6182  109.7476   40.2264       NaN  248.2345  107.3963
NGC4293       center     440  1.000000  1.000000  0.000000  0.253477  0.06313144  632.0423   56.6348   87.5272   31.0871   23.7368       NaN 1750.3934   56.6298
NGC4303       center     617  0.806353  0.957078  0.000000  0.319813  0.15483070 2559.4200  194.6234  301.6518  154.8733   49.0061       NaN  549.7824  194.8728
NGC4321       center     387  0.847089  0.803816  1.236803  0.845438  0.06637519  817.5040  110.1214  163.4211   94.2305   44.4696       NaN  422.1703  110.1678
NGC4321       center     388  1.000000  1.000000  0.000000  0.362787  0.15180761 1698.3421  217.1742  347.2467  148.0032   61.8357       NaN  916.4871  217.2056
NGC4457       center      86  1.000000  1.000000  0.000000  0.269300  0.06945771 3673.2773  103.8162  157.7990   88.7135   23.6286       NaN  432.7584  113.5060
NGC4536       center     597  0.922268      -NaN  0.000000  0.404992  0.28092157 1249.1314  134.7564  204.1667   79.9127   40.8732       NaN 1351.6149  134.8394
NGC4548       center     369  1.000000  1.000000  0.000000  0.237384  0.01066234 1904.2153   23.2038   36.8590   24.1535    8.0301       NaN  242.5623   23.6954
NGC4569       center     921  0.998266  0.960622  0.000000  0.465400  0.06895821 1152.9778  106.1792  170.9407   63.1343   35.1520       NaN 1411.8471  106.4409
NGC4579       center     502  0.987469      -NaN  0.000000  0.384366  0.07398880 5785.9812   91.2813  151.0549       NaN       NaN       NaN       NaN   94.2168
NGC4689       center     152  1.000000  1.000000  0.000000  0.415495  0.01470214  399.0425   28.3560   41.1911   49.3158   27.3791       NaN   45.1839   28.2844
NGC4941       center     123  1.000000  1.000000  0.000000  0.386416  0.04812594  778.7387   13.6061   19.5413   18.6895       NaN       NaN   93.5391   13.6864
NGC5248       center     168  1.000000  1.000000  0.000000  0.431674  0.10594611 1446.8571  150.9001  228.9511  128.5946   49.0304       NaN  435.8092  151.0391
NGC6300       center     182  0.802837  0.823532  0.000000  0.321530  0.24055358  833.2095   83.4158  128.0751   58.3229   31.9705 1418.4858  817.1150   83.4158
