#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sigma_SFR      Sigma_star      Sigma_mol      Sigma_mol_4p35   Sigma_mol_N12   Sigma_mol_B13      F_CO_60pc      F_CO_150pc   Sigma_mol_combo
IC1954      interarm      54  1.000000  1.000000  2.831870  2.827194  0.00322969   48.8313    5.7128    4.4562    9.6378       NaN       NaN   16.0326    5.7140
IC1954      interarm      58  1.000000  0.867791  4.612476  3.935290  0.00129082   22.2598    2.8843    1.7451    4.1847       NaN       NaN    3.6050    2.8076
IC1954      interarm      88  1.000000  0.838615  4.612476  3.869216  0.00079686   18.5449    1.2884    0.7795       NaN       NaN       NaN       NaN    1.2430
IC1954      interarm      89  0.876815  0.844528  3.677491  3.587669  0.00214538   37.0369    3.0440    2.1046    4.7804       NaN       NaN    8.5097    3.0448
IC1954      interarm      92  0.896651  0.924273  2.831870  2.615967  0.00370465   50.6971    6.2139    4.8472   10.4833       NaN       NaN   25.3140    6.1654
IC1954      interarm      93  1.000000  1.000000  3.478627  3.356112  0.00235183   29.8432    3.0634    2.1789    4.8925       NaN       NaN   13.3697    3.0505
IC1954      interarm     190  1.000000  0.984848  4.512798  4.278004  0.00111432   22.3510    1.7940    1.1010    2.6249       NaN       NaN    5.0124    1.9877
IC1954      interarm     191  1.000000  1.000000  4.057323  3.874265  0.00207169   28.0977    4.0425    2.6475    6.1474       NaN       NaN   14.6994    4.1539
IC1954      interarm     192  1.000000  1.000000  3.939097  3.773998  0.00278562   31.7516    6.1657    4.1067    9.4707       NaN       NaN   18.5544    6.2357
IC1954      interarm     193  1.000000  1.000000  4.186788  3.728693  0.00334142   34.0065    6.2263    4.0031    9.2213       NaN       NaN   37.1708    6.2263
IC1954      interarm     194  1.000000  0.870598  4.743414  4.047208  0.00181768   23.5014    4.1780    2.4811       NaN       NaN       NaN       NaN    4.0782
IC1954      interarm     232  0.999175  0.997963  2.698974  2.763444  0.00280719   47.5493    4.5305    3.6016    7.7298       NaN       NaN   14.0732    4.4675
IC1954      interarm     247  1.000000  0.843457  4.743414  4.029889  0.00061697   19.0721    1.1715    0.6957    1.6809       NaN       NaN    7.1287    1.2839
IC1954      interarm     248  1.000000  1.000000  4.186788  3.884692  0.00144976   28.4599    2.1157    1.3603    3.1823       NaN       NaN    8.7729    2.2040
IC1954      interarm     249  1.000000  1.000000  3.939097  3.974729  0.00161294   30.3797    2.5974    1.7300    3.9896       NaN       NaN   12.2768    2.7488
IC1954      interarm     250  1.000000  1.000000  4.057323  3.832857  0.00140071   23.8766    2.3672    1.5503    3.5998       NaN       NaN   10.0462    2.3700
IC1954      interarm     251  1.000000  0.992871  4.512798  4.872673  0.00103296   17.2899    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     218      -NaN  1.000000  9.165238      -NaN  0.00407857   19.3366    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     219      -NaN  1.000000  8.890149      -NaN  0.00662734   22.5689    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     220      -NaN  1.000000  8.724151      -NaN  0.00395414   19.4707    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     221      -NaN  1.000000  8.673511      -NaN  0.00251460   17.7344    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     223      -NaN  1.000000  8.921688      -NaN  0.00244409   15.2309    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     265  1.000000  1.000000  7.594554  7.122629  0.00446313   25.9902    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     266      -NaN  1.000000  8.058525      -NaN  0.00324722   17.5266    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     301      -NaN  1.000000  6.001921      -NaN  0.01160519   39.2586    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     302  1.000000  1.000000  5.567767  5.353547  0.00807864   40.2495    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     303  1.000000  1.000000  5.293384  5.306530  0.00263405   38.0627    3.7956    3.8099    7.4376   13.7009   14.2976    6.5597    3.5490
NGC0628     interarm     304  1.000000  1.000000  5.204107  5.273121  0.00362908   44.0953    7.4200    7.4983   14.5981   17.2547   27.1518   13.7935    7.5739
NGC0628     interarm     305  1.000000  1.000000  5.309280  5.430807  0.00732035   49.8318   13.0987   13.1324   24.2044   21.4465   64.2078   27.2242   13.1815
NGC0628     interarm     308  0.996952  1.005541  6.615370  6.175513  0.00338672   28.8931    2.4543    2.2296       NaN       NaN       NaN       NaN    2.6635
NGC0628     interarm     343      -NaN  1.000000  5.306166      -NaN  0.00252458   32.0256    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     344  0.896082  0.988861  4.589266  4.471446  0.00392685   52.5182    5.5973    5.9251   11.3199   12.0241   25.4236   16.1427    5.9029
NGC0628     interarm     348  0.995872  0.999839  3.621381  3.546590  0.00503810   87.1023   10.1070   11.5098   21.3463   27.8233   20.5933    9.8076   10.2215
NGC0628     interarm     349  1.000000  1.000000  4.029262  4.292165  0.00457563   74.4747   11.3563   12.5404   18.9090   16.0253   74.2503   40.9453   11.3837
NGC0628     interarm     352  1.000000  1.000000  6.152569  6.284066  0.00402963   34.4534    6.2021    5.8346   11.6942   31.4977       NaN    3.9123    6.2844
NGC0628     interarm     353  1.000000  1.000000  7.010444  6.802526  0.00573421   28.1115    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     354      -NaN  1.000000  7.904522      -NaN  0.00667497   23.4949    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     383      -NaN  1.030116  7.270766      -NaN  0.00173095   18.8702    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     390  0.921369  0.973032  1.734702  1.775276  0.00776136  259.2140   16.6416   21.8521   38.2490   40.1182   13.9477    8.9499   16.5949
NGC0628     interarm     393  1.000000  1.000000  3.505222  3.504063  0.00678512  109.8504   12.6848   14.5727   26.9306   36.6750   13.3701    8.2449   12.7419
NGC0628     interarm     395  0.957218  0.871686  5.355940  5.237817  0.00495947   51.6837    8.1775    8.1696   15.9793   23.0560   21.2691    9.8378    8.2472
NGC0628     interarm     396  1.000000  1.000000  6.320619  6.218017  0.00243510   26.4565    3.2156    2.9869       NaN       NaN       NaN       NaN    3.3136
NGC0628     interarm     397  1.000000  1.000000  7.297758  7.128162  0.00180180   16.8619    2.1559    1.8602       NaN       NaN       NaN       NaN    2.2611
NGC0628     interarm     399      -NaN  1.000000  9.273625      -NaN  0.00309452   16.5511    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     425      -NaN  1.442455  8.085378      -NaN  0.00149546   14.9151    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     426  1.000000  1.000000  7.074706  6.781484  0.00200830   22.0993    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     438  1.000000  1.000000  5.053361  5.002833  0.00550608   58.1201    8.3273    8.5116   16.4943   22.8715   13.5463   10.3060    8.4656
NGC0628     interarm     439  1.000000  1.000000  6.064033  6.152254  0.00328867   32.9525    1.9682    1.8640       NaN       NaN       NaN       NaN    1.7897
NGC0628     interarm     440  1.000000  1.000000  7.074706  6.624384  0.00325257   24.8433    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     441      -NaN  1.000000  8.085378      -NaN  0.00363592   22.3528    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     468  1.000000  0.591546  8.282949  7.809601  0.00102825   12.6461    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     469  0.995274  0.880791  7.297758  7.221420  0.00186699   19.8779    2.2233    1.9183    3.9823    8.0454       NaN    6.5908    2.2013
NGC0628     interarm     480  0.991052  0.989604  4.386362  4.449822  0.00676253   73.3319    9.5765   10.2939   19.5443   24.2702   23.3079   11.6242    9.4984
NGC0628     interarm     481  1.000000  1.000000  5.329654  8.458382  0.00520324   49.0660    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     482      -NaN  1.000000  6.293899      -NaN  0.00382512   34.4964    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     514  1.042393  0.984690  6.152569  5.767054  0.00457266   41.8851    6.0221    5.6653       NaN       NaN   16.7797       NaN    6.1097
NGC0628     interarm     517  1.000000  1.000000  4.029262  4.046440  0.00864145   83.5162   12.5288   13.8352   25.9820   41.1151   20.2487    7.0237   12.6449
NGC0628     interarm     521  0.985928  0.967934  4.001281  3.958348  0.01099726   91.1225   15.8369   17.5253   32.8835   34.4545   29.5474   14.2166   15.7892
NGC0628     interarm     522  1.000000  1.000000  4.589266  4.368930  0.00854723   66.6215    8.5528    9.0537       NaN       NaN       NaN       NaN    8.4412
NGC0628     interarm     523      -NaN  1.000000  5.306166      -NaN  0.00471271   45.6980    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     558  1.000000  1.000000  6.615370  6.402618  0.00218017   27.2581    2.5066    2.2771       NaN       NaN       NaN       NaN    2.5999
NGC0628     interarm     569      -NaN  1.000000  8.748962      -NaN  0.00216982   14.1417    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     601      -NaN  1.000000  7.594554      -NaN  0.00248072   20.3942    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     602  1.000000  1.000000  7.242763  7.066945  0.00529757   26.4844   -0.1756   -0.1522       NaN       NaN       NaN       NaN   -0.0737
NGC0628     interarm     603  1.000000  1.000000  7.020034  6.451382  0.00475508   25.5066    5.4223    4.7776    9.8340   14.6074       NaN   10.5514    5.4984
NGC0628     interarm     604  1.000000  1.000000  6.938809  6.582575  0.00259480   22.6932    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     606      -NaN  1.000000  7.211671      -NaN  0.00211858   31.3951    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     607      -NaN  1.000000  7.550042      -NaN  0.00365233   27.5147    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     608      -NaN  1.000000  8.002561      -NaN  0.00332105   20.8390    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     609      -NaN  1.000000  8.551126      -NaN  0.00211657   16.5805    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     642      -NaN  0.828999  9.211094      -NaN  0.00294718   15.4376    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     644      -NaN  1.000000  8.740234      -NaN  0.00209649   13.9034    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628     interarm     645      -NaN  1.000000  8.673511      -NaN  0.00272979   14.0711    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
