#galaxy   structure    hexagon    f_CO   f_SFR   r_gal   r_weighted    Sigma_SFR      Sigma_star      Sigma_mol      Sigma_mol_4p35   Sigma_mol_N12   Sigma_mol_B13      F_CO_60pc      F_CO_150pc   Sigma_mol_combo
IC1954        spiral      74  0.874580  0.833042  1.216160  1.174923  0.01168322  140.0317   15.9766   15.6935   24.4087       NaN       NaN   48.4723   15.9818
IC1954        spiral     208  0.947335  0.837002  3.808122  3.588315  0.00195875   31.3683    3.7537    2.5474    5.8301       NaN       NaN   18.6204    3.7082
IC1954        spiral     231  0.991328  0.954918  1.739314  1.690250  0.00616593   93.9987    9.7283    8.8687   16.3404       NaN       NaN   33.8163    9.7447
NGC0628       spiral     258      -NaN  0.997322  8.002561      -NaN  0.00362376   22.9305    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628       spiral     259      -NaN  1.000000  7.550042      -NaN  0.00686506   33.4022    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628       spiral     260      -NaN  0.899528  7.211671      -NaN  0.01273938   43.7849    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628       spiral     261      -NaN  1.000713  7.004011      -NaN  0.00779421   39.4346    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628       spiral     262  1.000000  0.995758  6.938809  6.813431  0.00582220   38.0088    0.0000    0.0000    0.0000    0.0000   68.7254   44.5007    0.0000
NGC0628       spiral     298      -NaN  0.889529  7.959248      -NaN  0.00179732   16.2475    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628       spiral     307  0.991811  0.987623  6.043893  5.868445  0.00907949   49.5330    8.3195    7.8909   14.7806   12.9769   62.3423   29.3556    8.4556
NGC0628       spiral     339      -NaN  1.264477  8.772724      -NaN  0.00156875   14.0242    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628       spiral     351  0.903963  0.922475  5.348346  5.160901  0.00890516   61.8384   12.3230   12.3183   18.7239   15.5026   90.5988   50.0536   12.3559
NGC0628       spiral     386  0.963401  1.009261  4.386362  4.194043  0.00843197   70.8805   15.2790   16.4235   24.6930   20.7717   74.1074   43.9206   15.0447
NGC0628       spiral     387  0.967321  1.013852  3.481099  3.540610  0.00891682  112.0729   18.3355   21.1027   28.1486   21.3825   84.6366   54.6748   18.1818
NGC0628       spiral     394  0.989535  0.999341  4.411902  4.416645  0.00874561   87.6552   18.3923   19.7319   31.6499   25.6467   51.5226   36.0389   18.4369
NGC0628       spiral     428  0.997663  1.000112  5.053361  4.963148  0.00539045   58.5554   11.6354   11.8928   23.0466   22.8643   30.5986   18.9584   11.5484
NGC0628       spiral     431  0.992084  0.985782  2.021344  2.026670  0.00861925  222.8042   15.2266   19.5660   31.9560   22.7684   29.8022   22.6148   15.3404
NGC0628       spiral     435  0.823848  0.807021  2.021344  1.960096  0.00770294  224.4790   13.7279   17.6402   31.1493   23.7434   34.6028   17.0420   13.5328
NGC0628       spiral     470  0.969875  1.015331  6.320619  6.244616  0.00298933   31.0105    5.2804    4.9049    9.8817   21.5837   11.7723    5.4302    5.3349
NGC0628       spiral     474  1.001310  1.000439  2.674173  2.571434  0.00912298  162.9815   12.1961   14.9184   26.8757   23.6984   22.2984   15.2209   12.2657
NGC0628       spiral     479  0.887357  0.812546  3.481099  3.442917  0.01574619  113.7273   18.1169   20.8511   35.6236   28.7347   40.8360   25.2279   18.0728
NGC0628       spiral     513  1.000000  1.000000  7.010444  6.653490  0.00444779   30.1875    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
NGC0628       spiral     516  0.972493  0.992805  4.625843  4.642432  0.01178494   78.5713   18.1754   19.1868   31.3554   26.0352   46.2878   35.2660   18.1557
NGC0628       spiral     525      -NaN  1.059953  6.962199      -NaN  0.00361251   28.8019    0.0000    0.0000       NaN       NaN       NaN       NaN    0.0000
