# 23 metal-poor halo stars
# Solar oxygen abundance was 8.93, also assuming Anders & Grevesse 89
# Name - Fe/H - O/H - O/Fe
HD6582		-0.65	-0.37	0.28	
HD19445		-2.15	-1.36	0.79
HD22879		-0.80	-0.38	0.42
HD38510		-0.92	-0.72	0.20
HD64090		-1.80	-1.04	0.76
HD76932		-1.10	-0.62	0.48
HD84937		-2.25	-1.45	0.80
HD94028		-1.60	-0.91	0.69
HD103095	-1.30	-0.68	0.62
HD134168	-1.00	-0.61	0.39
HD140283	-2.70	-1.85	0.85
HD157214	-0.60	-0.29	0.31
HD165908	-0.40	-0.35	0.05
HD166913	-1.80	-1.05	0.75
HD170153	-0.30	-0.35	-0.05
HD188510	-1.70	-1.01	0.69
HD189558	-1.30	-0.73	0.57
HD194598	-1.40	-0.81	0.59
HD201889	-1.25	-0.71	0.54
HD201891	-1.20	-0.63	0.57
HD211998	-1.50	-1.18	0.32
HD225239	-0.50	-0.36	0.14
BD233130	-2.90	-1.73	1.17
BD371458	-2.40	-1.43	0.97
